feature,branch,upstream_pre_variable,consumption_path,status,findings
state.ib_realized,dynamic,decision_node.operational_stage,PRE_FACTUAL_REPLAY_STAGE,COVERED,[]
state.ob_realized,dynamic,decision_node.operational_stage,PRE_FACTUAL_REPLAY_STAGE,COVERED,[]
state.to_realized,dynamic,decision_node.operational_stage,PRE_FACTUAL_REPLAY_STAGE,COVERED,[]
schedule.signed_minutes_to_crs_departure,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED,[]
weather.temperature_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.dewpoint_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.wind_direction_deg.sin,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.wind_direction_deg.cos,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.wind_speed_mps,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.qnh_hpa,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.visibility_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.ceiling_base_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.temperature_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.dewpoint_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.wind_speed_mps,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.qnh_hpa,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.visibility_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.ceiling_base_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.schedule.signed_minutes_to_crs_departure,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED,[]
ar.weather.temperature_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.dewpoint_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.wind_speed_mps,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.qnh_hpa,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.visibility_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.ceiling_base_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.temperature_c.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.temperature_c.stale_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.temperature_c.fallback_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.dewpoint_c.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.dewpoint_c.stale_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
