authoritative,draft_status,dataset_instance_id,adapter_id,source,raw_column,source_schema_declared,canonicalizer_accessed,candidate_rule_ids,rule_id,canonical_variable,owner,role,raw_unit,unit,availability_rule,transformation,missing_rule,downstream_module,provenance,findings
False,COVERED_ACTIVE,data1_2019,D1-EUROSTAT,eurostat,class,True,True,,D1-EUROSTAT,passenger_reference,PRE,FROZEN_REFERENCE,passengers_per_month,passengers,publication_period,pas_brd_total_total_airport_month,explicit,PRE;M2;EVALUATION_ONLY,D1-EUROSTAT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-EUROSTAT,eurostat,dimension,True,True,,D1-EUROSTAT,passenger_reference,PRE,FROZEN_REFERENCE,passengers_per_month,passengers,publication_period,pas_brd_total_total_airport_month,explicit,PRE;M2;EVALUATION_ONLY,D1-EUROSTAT@1.0.0,
False,SOURCE_SCHEMA_METADATA,data1_2019,D1-EUROSTAT,eurostat,id,True,True,,D1-EUROSTAT,passenger_reference,PRE,FROZEN_REFERENCE,passengers_per_month,passengers,publication_period,pas_brd_total_total_airport_month,explicit,PRE;M2;EVALUATION_ONLY,D1-EUROSTAT@1.0.0,
False,SOURCE_SCHEMA_METADATA,data1_2019,D1-EUROSTAT,eurostat,size,True,True,,D1-EUROSTAT,passenger_reference,PRE,FROZEN_REFERENCE,passengers_per_month,passengers,publication_period,pas_brd_total_total_airport_month,explicit,PRE;M2;EVALUATION_ONLY,D1-EUROSTAT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-EUROSTAT,eurostat,value,True,True,,D1-EUROSTAT,passenger_reference,PRE,FROZEN_REFERENCE,passengers_per_month,passengers,publication_period,pas_brd_total_total_airport_month,explicit,PRE;M2;EVALUATION_ONLY,D1-EUROSTAT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,callsign,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,callsign,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,day,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,day,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,destination,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,destination,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,firstseen,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,firstseen,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,icao24,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,icao24,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,lastseen,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,lastseen,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,EXPLICITLY_UNUSED,data1_2019,D1-FLIGHTLIST,opensky_flightlist,number,True,False,D1-OPENSKY-FLIGHT;D1-OPENSKY-FLIGHT-EVENT,,,PRE,,,,,,,,,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,origin,True,True,,D1-OPENSKY-FLIGHT,episode_identity,PRE,EPISODE_CONSTRUCTION,,UTC,archive_rule_required,offline_episode_identity,explicit,PRE,D1-OPENSKY-FLIGHT@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-FLIGHTLIST,opensky_flightlist,origin,True,True,,D1-OPENSKY-FLIGHT-EVENT,derived_operational_event,PRE,EVAL_OUTCOME,,UTC,posthoc_only,interval_event_proxy,explicit,EVALUATION_ONLY,D1-OPENSKY-FLIGHT-EVENT@1.0.0,
False,EXPLICITLY_UNUSED,data1_2019,D1-FLIGHTLIST,opensky_flightlist,registration,True,False,D1-OPENSKY-FLIGHT;D1-OPENSKY-FLIGHT-EVENT,,,PRE,,,,,,,,,
False,EXPLICITLY_UNUSED,data1_2019,D1-FLIGHTLIST,opensky_flightlist,typecode,True,False,D1-OPENSKY-FLIGHT;D1-OPENSKY-FLIGHT-EVENT,,,PRE,,,,,,,,,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,drct,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,dwpf,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,gust,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,metar,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,EXPLICITLY_UNUSED,data1_2019,D1-METAR,iem_metar,mslp,True,False,D1-METAR,,,PRE,,,,,,,,,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,sknt,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,skyc1,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,skyc2,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,skyc3,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
False,COVERED_ACTIVE,data1_2019,D1-METAR,iem_metar,skyl1,True,True,,D1-METAR,current_weather,PRE,INFERENCE_EVIDENCE,mixed,canonical,replay_lag_and_max_age_60,weather_units_qnh_not_mslp_cloud_both,explicit,PRE;M1,D1-METAR@1.0.0,
