feature,branch,upstream_pre_variable,consumption_path,status,findings
state.ib_realized,dynamic,decision_node.operational_stage,PRE_FACTUAL_REPLAY_STAGE,COVERED_ACTIVE,[]
state.ob_realized,dynamic,decision_node.operational_stage,PRE_FACTUAL_REPLAY_STAGE,COVERED_ACTIVE,[]
state.to_realized,dynamic,decision_node.operational_stage,PRE_FACTUAL_REPLAY_STAGE,COVERED_ACTIVE,[]
schedule.signed_minutes_to_crs_departure,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED_ACTIVE,[]
weather.temperature_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.dewpoint_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.wind_direction_deg.sin,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.wind_direction_deg.cos,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.wind_speed_mps,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.qnh_hpa,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.visibility_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.ceiling_base_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.temperature_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.dewpoint_c,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.wind_speed_mps,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.qnh_hpa,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.visibility_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.ceiling_base_m,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.schedule.signed_minutes_to_crs_departure,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED_ACTIVE,[]
weather.temperature_c.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.dewpoint_c.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.wind_direction_deg.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.wind_speed_mps.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.qnh_hpa.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.visibility_m.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
weather.ceiling_base_m.missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
current_weather.stale_mask,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED_ACTIVE,[]
current_weather.fallback_mask,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED_ACTIVE,[]
schedule.signed_minutes_to_crs_departure.missing_mask,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED_ACTIVE,[]
schedule.signed_minutes_to_crs_departure.stale_mask,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED_ACTIVE,[]
schedule.signed_minutes_to_crs_departure.fallback_mask,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED_ACTIVE,[]
weather.ceiling_base_m.unlimited_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.temperature_c.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.dewpoint_c.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.wind_speed_mps.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.qnh_hpa.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.visibility_m.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.weather.ceiling_base_m.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
delta.schedule.signed_minutes_to_crs_departure.derived_missing_mask,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED_ACTIVE,[]
weather.observation_age_minutes,dynamic,current_weather,PRE_CURRENT_STATE,COVERED_ACTIVE,[]
current_weather.support.ABSTAIN,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED_ACTIVE,[]
turnaround_reference_minutes,static,turnaround_reference,PRE_STATIC_REFERENCE_PUBLICATION,COVERED_ACTIVE,[]
taxi_reference_minutes,static,taxi_reference,PRE_STATIC_REFERENCE_PUBLICATION,COVERED_ACTIVE,[]
turnaround_reference_minutes.missing_mask,static,turnaround_reference,PRE_STATIC_REFERENCE_PUBLICATION,COVERED_ACTIVE,[]
taxi_reference_minutes.missing_mask,static,taxi_reference,PRE_STATIC_REFERENCE_PUBLICATION,COVERED_ACTIVE,[]
