additional_finite_classes,candidate_support_minutes,episode_finite_count,episode_tail_count,episode_tail_fraction,observed_additional_finite_bins,row_finite_count,row_tail_count,row_tail_fraction,target
0,300,39,1,0.025,0,332,10,0.029239766081871343,T_IB_REMAINING_HAZARD
0,330,39,1,0.025,0,334,8,0.023391812865497075,T_IB_REMAINING_HAZARD
0,360,39,1,0.025,0,340,2,0.005847953216374269,T_IB_REMAINING_HAZARD
6,390,40,0,0.0,1,342,0,0.0,T_IB_REMAINING_HAZARD
12,420,40,0,0.0,1,342,0,0.0,T_IB_REMAINING_HAZARD
18,450,40,0,0.0,1,342,0,0.0,T_IB_REMAINING_HAZARD
24,480,40,0,0.0,1,342,0,0.0,T_IB_REMAINING_HAZARD
0,120,125,3,0.0234375,0,1759,34,0.018962632459564976,D_OB
0,150,125,3,0.0234375,0,1759,34,0.018962632459564976,D_OB
0,180,125,3,0.0234375,0,1759,34,0.018962632459564976,D_OB
6,210,127,1,0.0078125,2,1783,10,0.005577244841048522,D_OB
12,240,127,1,0.0078125,2,1783,10,0.005577244841048522,D_OB
18,270,127,1,0.0078125,2,1783,10,0.005577244841048522,D_OB
24,300,127,1,0.0078125,2,1783,10,0.005577244841048522,D_OB
36,360,128,0,0.0,3,1793,0,0.0,D_OB
48,420,128,0,0.0,3,1793,0,0.0,D_OB
60,480,128,0,0.0,3,1793,0,0.0,D_OB
0,30,127,1,0.0078125,0,1870,10,0.005319148936170213,D_TX
0,45,128,0,0.0,0,1880,0,0.0,D_TX
0,60,128,0,0.0,0,1880,0,0.0,D_TX
3,75,128,0,0.0,0,1880,0,0.0,D_TX
6,90,128,0,0.0,0,1880,0,0.0,D_TX
12,120,128,0,0.0,0,1880,0,0.0,D_TX
18,150,128,0,0.0,0,1880,0,0.0,D_TX
