H,seed,target,lead_minutes,n,n_coverage,mae,median_ae,p90_ae,cov50,cov80,cov90,cov90_status,w50,w80,w90
8,20260813,T_IB_REMAINING_HAZARD,0,101,101,3.803442,3.720724,7.126769,0.405941,0.742574,0.792079,,5.594059,14.356436,19.356436
8,20260813,T_IB_REMAINING_HAZARD,30,65,65,20.132761,17.83587,33.653688,0.0,0.169231,0.4,,5.615385,15.461538,19.769231
8,20260813,T_IB_REMAINING_HAZARD,60,39,39,55.392395,53.698355,72.816602,0.0,0.0,0.0,,6.282051,15.128205,20.0
8,20260813,T_IB_REMAINING_HAZARD,120,12,12,109.256236,109.022017,131.392655,0.0,0.0,0.0,,5.416667,10.833333,20.0
8,20260813,D_OB,0,223,69,2.141152,1.848077,5.067403,0.231884,0.405797,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.779076,3.04946,
8,20260813,D_OB,30,635,239,4.018516,1.956914,11.009937,0.142259,0.230126,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.762273,3.041116,
8,20260813,D_OB,60,439,220,11.779501,2.004976,43.0,0.154545,0.172727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.741346,3.032007,
8,20260813,D_OB,120,174,72,18.954333,2.008349,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.672144,2.909272,
8,20260813,D_OB,180,77,18,14.624484,1.947364,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.6384,2.913384,
8,20260813,D_OB,240,56,12,5.395093,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.652286,3.015926,
8,20260813,D_OB,300,40,9,5.693646,2.044068,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.652731,2.971619,
8,20260813,D_OB,360,16,0,0.524758,0.0,2.093804,,,,,,,
8,20260813,D_OB,420,11,0,0.207319,0.0,0.0,,,,,,,
8,20260813,D_TX,0,160,47,0.85625,0.0,3.0,0.404255,0.744681,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.915308,3.083095,
8,20260813,D_TX,30,608,288,2.820724,0.0,10.0,0.232639,0.402778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.930111,3.115486,
8,20260813,D_TX,60,473,274,5.391121,2.0,11.0,0.156934,0.251825,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.947868,3.141371,
8,20260813,D_TX,120,214,147,12.831776,5.0,44.0,0.142857,0.190476,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.94646,3.141104,
8,20260813,D_TX,180,85,44,7.952941,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.919076,3.083434,
8,20260813,D_TX,240,57,33,3.526316,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.902822,3.069053,
8,20260813,D_TX,300,43,19,3.395349,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.892213,3.082238,
8,20260813,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
8,20260813,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
8,20260814,T_IB_REMAINING_HAZARD,0,101,101,3.762032,3.486674,6.545177,0.534653,0.792079,0.792079,,7.920792,15.0,20.0
8,20260814,T_IB_REMAINING_HAZARD,30,65,65,19.71116,17.507411,33.480715,0.0,0.138462,0.415385,,7.461538,15.0,20.0
8,20260814,T_IB_REMAINING_HAZARD,60,39,39,55.036971,53.480223,71.454257,0.0,0.0,0.0,,8.333333,15.0,20.0
8,20260814,T_IB_REMAINING_HAZARD,120,12,12,107.660076,107.023617,129.48085,0.0,0.0,0.0,,7.5,15.0,20.0
8,20260814,D_OB,0,223,69,2.470499,2.086768,4.708476,0.231884,0.405797,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.794802,2.873907,
8,20260814,D_OB,30,635,239,4.137642,2.12788,10.857756,0.142259,0.225941,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.791196,2.870758,
8,20260814,D_OB,60,439,220,11.47793,2.141756,40.783745,0.159091,0.172727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.78836,2.872326,
8,20260814,D_OB,120,174,72,18.925009,2.100657,76.963439,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.737989,2.799734,
8,20260814,D_OB,180,77,18,14.945745,2.081736,20.912407,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.739959,2.79981,
8,20260814,D_OB,240,56,12,6.133814,2.173793,20.955609,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.765203,2.79925,
8,20260814,D_OB,300,40,9,6.36434,2.195497,20.963053,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.774902,2.804633,
8,20260814,D_OB,360,16,0,2.129893,2.13378,2.181957,,,,,,,
8,20260814,D_OB,420,11,0,2.167931,2.150199,2.22757,,,,,,,
8,20260814,D_TX,0,160,47,0.976727,0.0,3.0,0.255319,0.744681,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.787711,2.874259,
8,20260814,D_TX,30,608,288,2.838862,1.0,10.0,0.197917,0.402778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.791822,2.889744,
8,20260814,D_TX,60,473,274,5.352807,2.00143,11.0,0.153285,0.251825,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.805672,2.926222,
8,20260814,D_TX,120,214,147,12.717137,3.5,44.0,0.142857,0.190476,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.80331,2.925046,
8,20260814,D_TX,180,85,44,7.742723,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.780606,2.875841,
8,20260814,D_TX,240,57,33,3.279221,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.77531,2.912863,
8,20260814,D_TX,300,43,19,3.44653,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.787958,2.971274,
8,20260814,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
8,20260814,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
8,20260815,T_IB_REMAINING_HAZARD,0,101,101,5.681761,4.795466,11.593054,0.108911,0.178218,0.217822,,4.207921,9.90099,13.316832
8,20260815,T_IB_REMAINING_HAZARD,30,65,65,15.548745,13.498735,30.385899,0.092308,0.307692,0.384615,,4.461538,11.769231,15.153846
8,20260815,T_IB_REMAINING_HAZARD,60,39,39,50.935971,50.673341,70.744186,0.0,0.051282,0.051282,,5.512821,13.333333,14.74359
8,20260815,T_IB_REMAINING_HAZARD,120,12,12,107.358892,106.727496,129.477327,0.0,0.0,0.0,,0.0,0.0,0.833333
8,20260815,D_OB,0,223,69,1.578475,0.0,7.0,0.275362,0.405797,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.188951,3.256417,
8,20260815,D_OB,30,635,239,3.554331,0.0,13.0,0.16318,0.230126,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.221313,3.278804,
8,20260815,D_OB,60,439,220,11.496583,1.0,43.0,0.172727,0.172727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.254072,3.292291,
8,20260815,D_OB,120,174,72,18.58046,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.20092,3.263762,
8,20260815,D_OB,180,77,18,13.87013,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.276736,3.304421,
8,20260815,D_OB,240,56,12,4.928571,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.268005,3.274838,
8,20260815,D_OB,300,40,9,5.175,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.276511,3.300451,
8,20260815,D_OB,360,16,0,0.0,0.0,0.0,,,,,,,
8,20260815,D_OB,420,11,0,0.0,0.0,0.0,,,,,,,
8,20260815,D_TX,0,160,47,0.85625,0.0,3.0,0.404255,0.744681,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.088294,3.249586,
8,20260815,D_TX,30,608,288,2.908448,1.0,10.0,0.232639,0.402778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.056427,3.206536,
8,20260815,D_TX,60,473,274,5.546722,2.839356,11.0,0.156934,0.251825,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.011926,3.125133,
8,20260815,D_TX,120,214,147,12.956644,4.5,44.0,0.163265,0.190476,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.990881,3.089261,
