H,seed,scope,metric,train_value,development_value,absolute_gap,relative_gap
8,20260813,COMPONENT,T_IB_HAZARD_NLL,6.285391,2.778392,-3.506999,-0.55796
8,20260813,COMPONENT,D_OB_ZERO_BCE,0.698621,0.724957,0.026336,0.037697
8,20260813,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.914078,9.521189,-10.392889,-0.521887
8,20260813,COMPONENT,D_TX_ZERO_BCE,0.684774,0.717518,0.032744,0.047817
8,20260813,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.482886,4.093952,1.611066,0.648868
8,20260813,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,30.06575,17.836007,-12.229743,-0.406767
8,20260814,COMPONENT,T_IB_HAZARD_NLL,6.365069,2.779544,-3.585525,-0.563313
8,20260814,COMPONENT,D_OB_ZERO_BCE,0.777162,0.735946,-0.041216,-0.053034
8,20260814,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.89703,9.519348,-10.377682,-0.521569
8,20260814,COMPONENT,D_TX_ZERO_BCE,0.686942,0.718488,0.031546,0.045922
8,20260814,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.536505,4.066229,1.529725,0.603084
8,20260814,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,30.262707,17.819555,-12.443152,-0.411171
8,20260815,COMPONENT,T_IB_HAZARD_NLL,6.143167,2.668261,-3.474906,-0.565654
8,20260815,COMPONENT,D_OB_ZERO_BCE,0.64277,0.676649,0.033878,0.052707
8,20260815,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.890732,9.504059,-10.386673,-0.522187
8,20260815,COMPONENT,D_TX_ZERO_BCE,0.67357,0.720393,0.046823,0.069515
8,20260815,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.495044,4.06984,1.574795,0.631169
8,20260815,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,29.845284,17.639201,-12.206082,-0.408979
8,20260816,COMPONENT,T_IB_HAZARD_NLL,6.169883,2.694367,-3.475515,-0.563303
8,20260816,COMPONENT,D_OB_ZERO_BCE,0.660881,0.681783,0.020903,0.031629
8,20260816,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.690449,9.279257,-10.411192,-0.528743
8,20260816,COMPONENT,D_TX_ZERO_BCE,0.732296,0.71071,-0.021586,-0.029478
8,20260816,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.409157,4.017188,1.608031,0.667466
8,20260816,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,29.662665,17.383305,-12.27936,-0.413967
8,20260817,COMPONENT,T_IB_HAZARD_NLL,6.262434,2.77201,-3.490424,-0.557359
8,20260817,COMPONENT,D_OB_ZERO_BCE,0.693478,0.696413,0.002935,0.004232
8,20260817,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.781124,9.350433,-10.430691,-0.527305
