target,evaluation_lead_grid_minutes,status,N_nodes,N_episodes,History_MAE,Current_MAE,Delta_MAE,History_P90AE,Current_P90AE
R_IB,0,PASS,101,43,8.833890572666204,3.7903486886017976,5.043541884064408,19.022024698374747,6.647206252735332
R_IB,30,PASS,65,20,13.622081285055737,19.77403337668785,-6.15195209163211,26.326073099008603,33.26213485064691
R_IB,60,PASS,39,7,46.61160981855717,55.002347701538746,-8.390737882981561,63.23509403202988,71.77315672571044
R_IB,120,PASS,12,2,105.03120723121314,107.39860270881836,-2.367395477605207,125.69639679226114,128.59572625058394
R_IB,180,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
R_IB,240,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
R_IB,300,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
R_IB,360,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
R_IB,420,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
R_IB,480,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
D_OB,0,PASS,291,108,1.2050069885974897,1.3131517987071033,-0.10814481010961369,5.0,5.0
D_OB,30,PASS,601,119,3.752445266568125,3.7674346525538187,-0.0149893859856934,13.0,13.0
D_OB,60,PASS,416,80,12.111938011187773,12.08874141252958,0.023196598658194907,43.0,43.0
D_OB,120,PASS,167,26,19.327592071658838,19.35928143712575,-0.03168936546691164,79.4,79.4
D_OB,180,PASS,76,7,14.052631578947368,14.052631578947368,0.0,23.0,23.0
D_OB,240,PASS,56,5,4.928571428571429,4.928571428571429,0.0,23.0,23.0
D_OB,300,PASS,38,4,5.447368421052632,5.447368421052632,0.0,23.0,23.0
D_OB,360,PASS,15,2,0.0,0.0,0.0,0.0,0.0
D_OB,420,PASS,11,1,0.0,0.0,0.0,0.0,0.0
D_OB,480,ABSTAIN_EMPTY_TARGET_LEAD_SLICE,0,0,,,,,
D_TX,0,PASS,99,54,0.8816032024345013,0.5454545454545454,0.33614865697995583,2.4326574325561525,2.0
D_TX,30,PASS,553,108,2.4096629257443585,2.2820976491862566,0.1275652765581017,7.54427967071534,8.0
D_TX,60,PASS,599,108,4.18380525872385,4.191986644407345,-0.008181385683495931,11.0,11.0
D_TX,120,PASS,279,38,11.297790006070153,11.455197132616487,-0.15740712654633335,28.0,28.0
D_TX,180,PASS,97,10,11.913717294476696,11.422680412371134,0.4910368821055619,44.0,44.0
D_TX,240,PASS,60,6,3.5166666666666666,3.5166666666666666,0.0,11.0,11.0
D_TX,300,PASS,44,4,3.3636363636363638,3.3636363636363638,0.0,11.0,11.0
D_TX,360,PASS,20,3,1.65,1.65,0.0,11.0,11.0
D_TX,420,PASS,12,1,0.0,0.0,0.0,0.0,0.0
D_TX,480,PASS,2,1,0.0,0.0,0.0,0.0,0.0
