target,replicate,History_MAE,Current_MAE,Delta_MAE,History_P90AE,Current_P90AE,History_R_IB_finite_support_CRPS,Current_R_IB_finite_support_CRPS,Delta_R_IB_finite_support_CRPS
R_IB,0,28.319825524238144,29.921508914458155,-1.6016833902200147,67.2406255474804,75.606546491274,24.47270392317217,27.664818664315323,-3.192114741143156
R_IB,1,23.04197269337948,23.939252960518985,-0.8972802671395017,58.00340831734651,61.65981001712883,19.66371239199291,21.92093145787148,-2.257219065878569
R_IB,2,20.056271694384726,21.810347210075662,-1.754075515690939,48.317287671857265,55.74246552529621,16.550886295592107,19.705033032979394,-3.1541467373872827
R_IB,3,22.382822405866833,22.426143095856208,-0.043320689989376764,58.100228281023846,63.595358501699586,18.645425353906063,20.50549152862908,-1.8600661747230154
R_IB,4,22.029720061274233,23.282302569103578,-1.2525825078293389,54.08079673197578,58.59067129632694,18.303637986898075,21.168399755849755,-2.864761768951679
R_IB,5,25.13935508621951,27.43048997458149,-2.291134888361981,58.38621664681636,61.65981001712883,21.592012494437267,25.223135939187127,-3.6311234447498686
R_IB,6,23.808422814874653,24.14540780533893,-0.3369849904642749,56.85498332893691,60.85118999237988,20.693663788403505,22.12163607668977,-1.4279722882862689
R_IB,7,16.350277988216753,17.67523733082739,-1.324959342610634,39.21957614979944,50.840001879547316,12.848605290368099,15.856543415460674,-3.00793812509258
R_IB,8,19.095633089826674,22.23209696018967,-3.136463870362991,46.332801295315406,56.65741269005211,15.657097825623755,20.17278856154737,-4.51569073592362
R_IB,9,18.647431876783475,20.689743864352085,-2.0423119875686084,45.745111697758546,55.74246552529621,15.25761318197328,18.675101481187152,-3.4174882992138693
R_IB,10,16.09910825697979,16.77411792144123,-0.6750096644614384,37.90842172960242,50.240249868654296,12.902190737920483,14.872589871667122,-1.9703991337466418
R_IB,11,13.3242201582122,14.791249564425312,-1.467029406213114,29.592133007103428,39.833110101912375,10.316845092237708,12.928670092334444,-2.6118250000967342
R_IB,12,21.131679264668342,23.587707836356227,-2.4560285716878867,54.96759964763348,61.33799574889455,17.96017619531537,21.47822054642996,-3.5180443511145882
R_IB,13,31.238628211445807,32.15257630061265,-0.9139480891668416,93.58244788476753,94.13620254662614,27.964819526138697,29.96142958564134,-1.9966100595026484
R_IB,14,14.746889431410073,15.485475385937624,-0.7385859545275533,35.06387091854351,43.88283337615476,11.825888264921648,13.774418519138557,-1.9485302542169107
R_IB,15,23.783240363067254,24.308611558923666,-0.5253711958564107,58.19481248208143,61.61958323359954,20.14251434404485,22.29021747621975,-2.1477031321748963
