experiment,variant,metric_id,level,value,unit,support,estimate,ci_lower,ci_upper,n_episodes,reason
EXP1,EXP1A_NO_DIRECT_REUSE,BRIER_PRINCIPAL_DELAY_EVENT,STATE,,score,NOT_RUN,,,,,FROZEN_DELAY_EVENT_DEFINITION_REQUIRED
EXP1,EXP1A_NO_DIRECT_REUSE,CALIBRATION,STATE,,absolute_gap,NOT_RUN,,,,,FROZEN_DELAY_EVENT_DEFINITION_REQUIRED
EXP1,EXP1A_NO_DIRECT_REUSE,COVERAGE,STATE,,rate,NOT_RUN,,,,,FROZEN_DELAY_EVENT_DEFINITION_REQUIRED
EXP1,EXP1A_NO_DIRECT_REUSE,CRPS_PRIMITIVE_TARGET,STATE,,minutes,NOT_RUN,,,,,NO_SUPPORTED_PRIMITIVE_SAMPLES_OR_LABELS
EXP1,EXP1A_NO_DIRECT_REUSE,EXPOST_MODEL_IMPLIED_RESIDUAL_RISK,DECISION,,CONSTRUCTED_LOSS_UNIT,NOT_RUN,,,,,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
EXP1,EXP1A_NO_DIRECT_REUSE,STATE_REPRESENTATION_DIFFERENCE,STATE,,minutes,NOT_RUN,,,,,M1_V2_PREDICTIVE_OUTPUT_REQUIRED
EXP1,EXP1A_NO_DIRECT_REUSE,TOP1_ACTION_DISAGREEMENT,DECISION,,rate,NOT_RUN,,,,,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
EXP1,EXP1A_FULL,BRIER_PRINCIPAL_DELAY_EVENT,STATE,,score,NOT_RUN,,,,,FROZEN_DELAY_EVENT_DEFINITION_REQUIRED
EXP1,EXP1A_FULL,CALIBRATION,STATE,,absolute_gap,NOT_RUN,,,,,FROZEN_DELAY_EVENT_DEFINITION_REQUIRED
EXP1,EXP1A_FULL,COVERAGE,STATE,,rate,NOT_RUN,,,,,FROZEN_DELAY_EVENT_DEFINITION_REQUIRED
EXP1,EXP1A_FULL,CRPS_PRIMITIVE_TARGET,STATE,,minutes,NOT_RUN,,,,,NO_SUPPORTED_PRIMITIVE_SAMPLES_OR_LABELS
EXP1,EXP1A_FULL,EXPOST_MODEL_IMPLIED_RESIDUAL_RISK,DECISION,,CONSTRUCTED_LOSS_UNIT,NOT_RUN,,,,,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
EXP1,EXP1A_FULL,STATE_REPRESENTATION_DIFFERENCE,STATE,,minutes,NOT_RUN,,,,,M1_V2_PREDICTIVE_OUTPUT_REQUIRED
EXP1,EXP1A_FULL,TOP1_ACTION_DISAGREEMENT,DECISION,,rate,NOT_RUN,,,,,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
