quantity_id,estimate,ci_low,ci_high,n_nodes,n_episodes,population_rule,support_population,support_status
F_continuity,-0.1328266896595978,-0.20290367166484596,-0.04468156130425665,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
F_execution,0.8179754799641213,0.7631563852581708,0.8625629317086967,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
F_propagation,0.9948285506564492,0.984794718223539,1.0,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
P_time,0.6034439550864459,0.5092172022223305,0.7002808317285338,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
P_itinerary,0.36254374265927963,0.2089554748111874,0.49489021993484894,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
P_service,0.5980434880486705,0.5350286049270683,0.6479691201470107,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
R_operating,0.2551424630756644,0.13656497196378986,0.37101134503850314,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,COMPONENT_SPECIFIC,SUPPORTED
score_F,0.9299655450272903,0.9115173697748616,0.9466087088796719,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,DOMAIN_COMPLETE,SUPPORTED
score_P,0.6008620811523202,0.5090295908553503,0.6956820533367948,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,DOMAIN_COMPLETE,SUPPORTED
score_R,0.2551424630756644,0.13656497196378986,0.37101134503850314,1765,127,FINITE_SUPPORT_APPLICABLE_PER_COMPONENT_OR_DOMAIN,DOMAIN_COMPLETE,SUPPORTED
