episode_id,component,channel,comparison,absolute_mean_distortion,absolute_tail_distortion,n_nodes
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,12
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,12
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,16
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,16
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,12
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,12
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,F_continuity,Flight,POINT_MINUS_JOINT,0.001441860465116279,0.014418604651162792,2
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,8
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,8
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:131687a2a4d1ce3d87839668761d426361e0f6474d5e3c22895ba7ed1fd37e43,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,13
sha256:131687a2a4d1ce3d87839668761d426361e0f6474d5e3c22895ba7ed1fd37e43,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,13
sha256:131687a2a4d1ce3d87839668761d426361e0f6474d5e3c22895ba7ed1fd37e43,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:131687a2a4d1ce3d87839668761d426361e0f6474d5e3c22895ba7ed1fd37e43,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:17cb9f5c5180ae688b3d4a691216cbb6e153dd26fec2a70ec212f96d4a3e19f6,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:17cb9f5c5180ae688b3d4a691216cbb6e153dd26fec2a70ec212f96d4a3e19f6,F_continuity,Flight,POINT_MINUS_JOINT,6.718346253229974e-05,0.0006718346253229975,9
sha256:17cb9f5c5180ae688b3d4a691216cbb6e153dd26fec2a70ec212f96d4a3e19f6,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:17cb9f5c5180ae688b3d4a691216cbb6e153dd26fec2a70ec212f96d4a3e19f6,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:181bc7c975fd4b2da221a0b667fef47f9b851c9cf9c2f60a9d2ed76de463c702,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:181bc7c975fd4b2da221a0b667fef47f9b851c9cf9c2f60a9d2ed76de463c702,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:181bc7c975fd4b2da221a0b667fef47f9b851c9cf9c2f60a9d2ed76de463c702,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:181bc7c975fd4b2da221a0b667fef47f9b851c9cf9c2f60a9d2ed76de463c702,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:19018d30b8242c3626aa00ca5672a0a99fdfb5627522791ce4231a969b41626d,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,7
sha256:19018d30b8242c3626aa00ca5672a0a99fdfb5627522791ce4231a969b41626d,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,7
sha256:19c3ba96b1702f047910bbbce7058a4000ac8b2acafd113a3c36a35147dff201,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:19c3ba96b1702f047910bbbce7058a4000ac8b2acafd113a3c36a35147dff201,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:1aaa144cdc8cf40cab4b2ce0440457e245eb58744e457753a9a5b27a7fa67cd2,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,59
sha256:1aaa144cdc8cf40cab4b2ce0440457e245eb58744e457753a9a5b27a7fa67cd2,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,59
sha256:1b38dfe1dd2690b17c5845dc0d41cf26511f63a6fd9412b810642e365802adc4,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,16
sha256:1b38dfe1dd2690b17c5845dc0d41cf26511f63a6fd9412b810642e365802adc4,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,16
sha256:1b38dfe1dd2690b17c5845dc0d41cf26511f63a6fd9412b810642e365802adc4,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:1b38dfe1dd2690b17c5845dc0d41cf26511f63a6fd9412b810642e365802adc4,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:22af1782183a59cb9c7ceb95e41ac6227e1069d5774b9ec5848041809a646143,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,11
sha256:22af1782183a59cb9c7ceb95e41ac6227e1069d5774b9ec5848041809a646143,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,11
sha256:2535ad26710c031ab1827c61c902b08a37ff80f68a6e45abb36c2bc4904a1cb6,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,7
sha256:2535ad26710c031ab1827c61c902b08a37ff80f68a6e45abb36c2bc4904a1cb6,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,7
sha256:2535ad26710c031ab1827c61c902b08a37ff80f68a6e45abb36c2bc4904a1cb6,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:2535ad26710c031ab1827c61c902b08a37ff80f68a6e45abb36c2bc4904a1cb6,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
sha256:25fe599dc22a1edc79d64db38d787481a8a0e7acd4a83b83b938ee3de35f633b,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:25fe599dc22a1edc79d64db38d787481a8a0e7acd4a83b83b938ee3de35f633b,F_continuity,Flight,POINT_MINUS_JOINT,2.583979328165375e-05,0.00025839793281653755,9
sha256:29a423c8c4fc9dc08eabb584988d1d942c78c6f372c39e98876f9af82ccebba4,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,11
sha256:29a423c8c4fc9dc08eabb584988d1d942c78c6f372c39e98876f9af82ccebba4,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,11
sha256:29a423c8c4fc9dc08eabb584988d1d942c78c6f372c39e98876f9af82ccebba4,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:29a423c8c4fc9dc08eabb584988d1d942c78c6f372c39e98876f9af82ccebba4,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:2b04686f26ff3a5ef1f854cfa1f27a54eb3ad1fc242885b0aa9f8ed70f856335,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,25
sha256:2b04686f26ff3a5ef1f854cfa1f27a54eb3ad1fc242885b0aa9f8ed70f856335,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,25
sha256:2f88de8e2dfd4dd93b29ae1d50513fed3ef3d03131015ee83f0b2c5a4f8b85f1,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,70
sha256:2f88de8e2dfd4dd93b29ae1d50513fed3ef3d03131015ee83f0b2c5a4f8b85f1,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,70
sha256:2f88de8e2dfd4dd93b29ae1d50513fed3ef3d03131015ee83f0b2c5a4f8b85f1,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:2f88de8e2dfd4dd93b29ae1d50513fed3ef3d03131015ee83f0b2c5a4f8b85f1,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:303410c378ce9366901a9312d7eca17462f978c69efe6a4716458489c2a91129,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:303410c378ce9366901a9312d7eca17462f978c69efe6a4716458489c2a91129,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:303410c378ce9366901a9312d7eca17462f978c69efe6a4716458489c2a91129,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:303410c378ce9366901a9312d7eca17462f978c69efe6a4716458489c2a91129,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:31440bc3e5679e7db44d799df4cda40a6b4b5036b4248d2c215dd559ca7ab204,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,11
sha256:31440bc3e5679e7db44d799df4cda40a6b4b5036b4248d2c215dd559ca7ab204,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,11
sha256:330272da4115b59e0fc45effab0c00959f23f483620a509aa53295aee8a5c81d,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,12
sha256:330272da4115b59e0fc45effab0c00959f23f483620a509aa53295aee8a5c81d,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,12
sha256:34e1640dddb2189641d8114c383322b89b44b2f9f203668e9b4dd9f3c59b2385,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,13
sha256:34e1640dddb2189641d8114c383322b89b44b2f9f203668e9b4dd9f3c59b2385,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,13
sha256:34e1640dddb2189641d8114c383322b89b44b2f9f203668e9b4dd9f3c59b2385,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:34e1640dddb2189641d8114c383322b89b44b2f9f203668e9b4dd9f3c59b2385,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:351755fd8a70eb14bc9a8058768a60fcb02b32acbcda041a7566b4fdcb7634d0,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,22
sha256:351755fd8a70eb14bc9a8058768a60fcb02b32acbcda041a7566b4fdcb7634d0,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,22
sha256:39638a61edea8c9430fb7c6a9a25400c086b685169f8504a1919ca2d69d06558,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,16
sha256:39638a61edea8c9430fb7c6a9a25400c086b685169f8504a1919ca2d69d06558,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,16
sha256:39638a61edea8c9430fb7c6a9a25400c086b685169f8504a1919ca2d69d06558,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:39638a61edea8c9430fb7c6a9a25400c086b685169f8504a1919ca2d69d06558,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
