component,channel,comparison,mean_distortion,mean_ci_lower,mean_ci_upper,tail_distortion,tail_ci_lower,tail_ci_upper,N_episode,N_node,excluded_node_count,bootstrap_reps,bootstrap_seed
F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,0.0,0.0,0.0,0.0,128,1769,0,2000,20260825
F_continuity,Flight,POINT_MINUS_JOINT,9.140798034330011e-05,3.112173830287929e-05,0.00016683863395164258,0.0009140798034330013,0.00031121738302879295,0.0016683863395164258,128,1769,0,2000,20260825
F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,0.0,0.0,0.0,0.0,67,98,1671,2000,20260825
F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,0.0,0.0,0.0,0.0,67,98,1671,2000,20260825
F_propagation,Flight,MARGINAL_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
F_propagation,Flight,POINT_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
P_itinerary,Passenger,MARGINAL_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
P_itinerary,Passenger,POINT_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
P_service,Passenger,MARGINAL_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
P_service,Passenger,POINT_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
P_time,Passenger,MARGINAL_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
P_time,Passenger,POINT_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
R_operating,Resource,MARGINAL_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
R_operating,Resource,POINT_MINUS_JOINT,,,,,,,0,0,1769,2000,20260825
