replicate,metric,stage,status,n_nodes,n_episodes,kendall_tau_b,top10_overlap,median_rank_displacement,p90_rank_displacement,support_coverage,caliper_minutes,candidate_pairs,balanced_episode_pairs,matched_episodes,median_consequence_gap,p90_consequence_gap
0,top10_overlap,POST_IB_PRE_OB,PASS,64.0,4.0,0.9667338709677421,0.42857142857142855,0.0,0.057812500000000044,1.0,,,,,,
0,top10_overlap,POST_OB_PRE_TO,PASS,10.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
0,top10_overlap,PRE_IB,PASS,4.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
0,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,831.0,4.0,4.0,0.1952934855558371,0.26650742818618284
0,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,29.0,6.0,4.0,0.1979158155697307,0.3031034375640109
0,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,4.0,1.0,2.0,0.12764966714432185,0.12764966714432185
1,top10_overlap,PRE_IB,PASS,12.0,2.0,0.9999999999999999,0.5,0.0,0.0,1.0,,,,,,
1,top10_overlap,POST_IB_PRE_OB,PASS,79.0,4.0,0.7903871829105474,0.25,0.10126582278481011,0.1924050632911393,1.0,,,,,,
1,top10_overlap,POST_OB_PRE_TO,PASS,7.0,3.0,1.0,1.0,0.0,0.0,1.0,,,,,,
1,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,32.0,1.0,2.0,0.14005926910323607,0.14005926910323607
1,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1626.0,8.0,4.0,0.042191461654766976,0.16059764924625355
1,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,14.0,3.0,3.0,0.11704461548437756,0.1829399637398622
2,top10_overlap,PRE_IB,PASS,14.0,3.0,0.9058823529411766,1.0,0.0,0.1428571428571429,1.0,,,,,,
2,top10_overlap,POST_IB_PRE_OB,PASS,49.0,5.0,0.7779675491033305,1.0,0.04081632653061229,0.322448979591837,1.0,,,,,,
2,top10_overlap,POST_OB_PRE_TO,PASS,4.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
2,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,56.0,4.0,3.0,0.07577952725999684,0.13633638851556182
2,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,729.0,11.0,5.0,0.1375349762147786,0.4108922215959958
2,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,6.0,6.0,4.0,0.1523007113990068,0.2520076118008735
3,top10_overlap,POST_IB_PRE_OB,PASS,59.0,2.0,0.8918918918918919,0.3333333333333333,0.05084745762711862,0.1016949152542373,1.0,,,,,,
3,top10_overlap,POST_OB_PRE_TO,PASS,5.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
3,top10_overlap,PRE_IB,PASS,10.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
3,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,858.0,1.0,2.0,0.2895431074732421,0.2895431074732421
3,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,6.0,1.0,2.0,0.10518762199428025,0.10518762199428025
3,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,24.0,1.0,2.0,0.12764966714432185,0.12764966714432185
4,top10_overlap,POST_IB_PRE_OB,PASS,61.0,5.0,0.7122302158273383,0.42857142857142855,0.09836065573770492,0.3278688524590164,1.0,,,,,,
4,top10_overlap,POST_OB_PRE_TO,PASS,7.0,4.0,0.9999999999999998,1.0,0.0,0.0,1.0,,,,,,
4,top10_overlap,PRE_IB,PASS,8.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,
4,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,676.0,10.0,5.0,0.04248805129376909,0.41116451289518485
4,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,18.0,6.0,4.0,0.1523007113990068,0.3031034375640109
4,median_consequence_gap,PRE_IB,ABSTAIN_INSUFFICIENT_MATCHES,,,,,,,,5.0,0.0,,,,
5,top10_overlap,POST_IB_PRE_OB,PASS,41.0,4.0,0.5781637717121588,0.0,0.21951219512195125,0.3658536585365854,1.0,,,,,,
5,top10_overlap,POST_OB_PRE_TO,PASS,7.0,3.0,1.0,1.0,0.0,0.0,1.0,,,,,,
5,top10_overlap,PRE_IB,PASS,8.0,2.0,0.8461538461538463,1.0,0.0,0.16249999999999998,1.0,,,,,,
5,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,600.0,8.0,4.0,0.034541765295049126,0.06365603399653115
5,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,14.0,3.0,3.0,0.11404864501637227,0.1164454213907765
5,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,16.0,2.0,2.0,0.01371504698296111,0.021870519297129687
6,top10_overlap,PRE_IB,PASS,8.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
6,top10_overlap,POST_IB_PRE_OB,PASS,84.0,5.0,0.931315483119907,0.5555555555555556,0.023809523809523808,0.07142857142857151,1.0,,,,,,
6,top10_overlap,POST_OB_PRE_TO,PASS,9.0,5.0,0.9999999999999999,1.0,0.0,0.0,1.0,,,,,,
6,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,12.0,1.0,2.0,0.13901449168456953,0.13901449168456953
6,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1940.0,8.0,5.0,0.17514624303224485,0.3267647156076353
6,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,31.0,10.0,5.0,0.15080272616500418,0.2969950663233662
7,top10_overlap,PRE_IB,PASS,10.0,3.0,0.9069767441860466,1.0,0.0,0.10999999999999995,1.0,,,,,,
7,top10_overlap,POST_IB_PRE_OB,PASS,55.0,5.0,0.8480325644504749,0.5,0.036363636363636376,0.1527272727272728,1.0,,,,,,
7,top10_overlap,POST_OB_PRE_TO,PASS,5.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
7,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,32.0,4.0,3.0,0.07577952725999684,0.13633638851556182
7,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,737.0,11.0,5.0,0.1375349762147786,0.4108922215959958
7,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,9.0,6.0,4.0,0.1523007113990068,0.2520076118008735
8,top10_overlap,POST_IB_PRE_OB,PASS,51.0,5.0,0.8015873015873015,0.16666666666666666,0.05882352941176472,0.19607843137254904,1.0,,,,,,
8,top10_overlap,POST_OB_PRE_TO,PASS,8.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
8,top10_overlap,PRE_IB,PASS,8.0,3.0,0.5714285714285714,1.0,0.125,0.36249999999999993,1.0,,,,,,
