stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
PRE_IB,59,10,1.0,5.0,0.7278106508875739,0.15254237288135591,0.27118644067796616,0.01694915254237288,0.8380322882545623,0.01694915254237288,0.0,1,1,0.8333333333333334,PASS,PASS,839,53,10,1.0,0.3728813559322034,0.48305084745762716,0.01694915254237288,0.01694915254237288,0
POST_IB_PRE_OB,311,10,1.0,5.0,0.8694712337878283,0.019292604501607746,0.12218649517684887,0.03536977491961415,0.9535693397984041,0.01607717041800643,0.01929260450160772,1,1,0.96875,PASS,PASS,31640,53,10,1.0,0.23151125401929257,0.5106109324758844,0.003215434083601286,0.003215434083601286,0
POST_OB_PRE_TO,16,10,1.0,5.0,0.9459459459459459,0.0,0.09375,0.0,0.9850299401197603,0.0,0.0,1,1,0.5,PASS,PASS,112,85,10,1.0,0.3125,0.65625,0.0625,0.0625,0
PRE_IB,55,7,1.0,5.0,0.9204934886908843,0.018181818181818188,0.09090909090909094,0.03636363636363636,0.9692285466628142,0.03636363636363636,0.0,3,3,1.0,PASS,PASS,551,49,6,0.8571428571428571,0.28181818181818186,0.5727272727272728,0.05454545454545454,0.05454545454545454,1
POST_IB_PRE_OB,374,7,1.0,5.0,0.8766693529818099,0.025401069518716624,0.1232620320855614,0.0,0.9623416133167311,0.0,0.0,3,3,0.8947368421052632,PASS,PASS,36775,49,6,0.8571428571428571,0.39572192513368987,0.7232620320855615,0.008021390374331552,0.008021390374331552,1
POST_OB_PRE_TO,14,7,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,82,82,7,1.0,0.35714285714285715,0.7714285714285724,0.21428571428571427,0.21428571428571427,1
PRE_IB,83,8,1.0,5.0,0.907074340527578,0.02409638554216864,0.06024096385542168,0.024096385542168676,0.9340105255417712,0.024096385542168676,0.0,1,2,0.7777777777777778,PASS,PASS,1061,51,8,1.0,0.41566265060240964,0.7951807228915663,0.012048192771084338,0.024096385542168676,2
POST_IB_PRE_OB,370,8,1.0,5.0,0.9516392357587259,0.0,0.05675675675675673,0.0,0.9850787039669453,0.0,0.0,2,2,0.5405405405405406,PASS,PASS,37321,51,8,1.0,0.3337837837837838,0.6810810810810811,0.005405405405405406,0.005405405405405406,2
POST_OB_PRE_TO,16,8,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,108,84,8,1.0,0.3125,0.6875,0.125,0.125,2
PRE_IB,38,7,1.0,5.0,0.9259259259259259,0.0,0.10526315789473684,0.0,0.9821997582683224,0.0,0.0,2,2,1.0,PASS,PASS,148,35,7,1.0,0.2236842105263158,0.2236842105263158,0.05263157894736842,0.05263157894736842,3
POST_IB_PRE_OB,317,7,1.0,5.0,0.822533684062569,0.03785488958990535,0.15078864353312327,0.025236593059936908,0.9365279696285452,0.0,0.025236593059936908,2,2,0.875,PASS,PASS,19894,35,7,1.0,0.38801261829653,0.4946372239747637,0.006309148264984227,0.006309148264984227,3
POST_OB_PRE_TO,20,7,1.0,5.0,0.8139534883720931,0.04999999999999999,0.2100000000000002,0.1,0.9017651573292401,0.0,0.1,4,4,1.0,PASS,PASS,152,80,7,1.0,0.3875,0.675,0.2,0.2,3
PRE_IB,61,9,1.0,5.0,0.916161059018202,0.03278688524590162,0.08196721311475408,0.0,0.9739174139618549,0.0,0.0,2,2,1.0,PASS,PASS,653,49,9,1.0,0.14754098360655743,0.4836065573770492,0.03278688524590164,0.03278688524590164,4
POST_IB_PRE_OB,290,9,1.0,5.0,0.9570755957075596,0.006896551724137938,0.05551724137931037,0.0,0.9945019596670965,0.0,0.0,2,2,0.8620689655172413,PASS,PASS,22409,49,9,1.0,0.17931034482758623,0.606896551724138,0.006896551724137931,0.006896551724137931,4
POST_OB_PRE_TO,16,9,1.0,5.0,0.8532110091743119,0.0,0.1875,0.0,0.9278195488721803,0.0,0.0,2,2,0.0,PASS,PASS,110,86,9,1.0,0.34375,0.65625,0.125,0.125,4
PRE_IB,31,8,1.0,5.0,0.6465324384787472,0.032258064516129004,0.3870967741935484,0.16129032258064516,0.765707336846372,0.03225806451612903,0.12903225806451613,1,1,1.0,PASS,PASS,271,69,7,0.875,0.22580645161290325,0.532258064516129,0.03225806451612903,0.03225806451612903,5
POST_IB_PRE_OB,280,8,1.0,5.0,0.6410348637052643,0.10535714285714287,0.3214285714285714,0.125,0.8223202358815095,0.08214285714285714,0.04285714285714286,1,1,0.2857142857142857,PASS,PASS,25746,69,7,0.875,0.3464285714285714,0.7232142857142858,0.0035714285714285713,0.0035714285714285713,5
POST_OB_PRE_TO,15,8,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,95,82,8,1.0,0.33333333333333337,0.6333333333333333,0.06666666666666667,0.06666666666666667,5
PRE_IB,44,9,1.0,5.0,0.874186550976139,0.04545454545454544,0.13636363636363635,0.0,0.9634206623826002,0.0,0.0,2,2,1.0,PASS,PASS,274,48,9,1.0,0.18181818181818182,0.2840909090909091,0.045454545454545456,0.045454545454545456,6
POST_IB_PRE_OB,309,9,1.0,5.0,0.8424380374304501,0.02588996763754048,0.15857605177993528,0.003236245954692557,0.9529959245997051,0.003236245954692557,0.0,3,3,1.0,PASS,PASS,19136,48,9,1.0,0.2637540453074434,0.5061488673139161,0.009708737864077669,0.009708737864077669,6
POST_OB_PRE_TO,18,9,1.0,5.0,0.7916666666666666,0.055555555555555525,0.21666666666666684,0.1111111111111111,0.8747390396659708,0.1111111111111111,0.0,3,1,0.5,PASS,PASS,134,85,9,1.0,0.3333333333333333,0.6944444444444444,0.16666666666666666,0.05555555555555555,6
