stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
PRE_IB,POST_IB_PRE_OB,-0.015405888121426181,-0.4534412955465587,-0.028917913178920916,0.003533858581245053,0.02060587961458399,0.002566219591102925,0
PRE_IB,POST_OB_PRE_TO,-0.30789576365663307,-0.6692307692307693,0.05836575875486381,0.2900074509479261,-0.0497557744846428,-0.14129894858845926,0
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2924898755352069,-0.21578947368421053,0.08728367193378472,0.2864735923666811,-0.07036165409922679,-0.1438651681795622,0
PRE_IB,POST_IB_PRE_OB,0.054167911024618376,-0.33929618768328446,-0.006210084008044847,-0.04086910749439379,-0.01654298223995082,-0.05587097873479813,1
PRE_IB,POST_OB_PRE_TO,-0.2589684923679073,-0.42424242424242425,0.06572769953051644,0.23173227398579507,-0.08276152642349832,-0.2123510292524377,1
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3131364033925257,-0.0849462365591398,0.07193778353856128,0.27260138148018886,-0.0662185441835475,-0.15648005051763958,1
PRE_IB,POST_IB_PRE_OB,-0.026765693984441397,0.004273504273504258,-0.02277532450153885,0.09374840334294376,-0.0155724243640743,-0.037119083245136686,2
PRE_IB,POST_OB_PRE_TO,-0.22068812955161365,0.0,0.03396226415094339,0.2372153545868575,-0.11986553892864887,-0.24617219692040765,2
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.19392243556717226,-0.004273504273504258,0.05673758865248224,0.14346695124391373,-0.10429311456457457,-0.20905311367527096,2
PRE_IB,POST_IB_PRE_OB,0.04888889623172765,0.06547619047619047,-0.023215663972051825,-0.02010128501983724,-0.012014055327619122,-0.029126213592233052,3
PRE_IB,POST_OB_PRE_TO,-0.2042677210744439,0.05714285714285705,0.036407766990291274,0.20687874406114448,-0.07653377401363348,-0.16742408593265862,3
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.25315661730617156,-0.008333333333333415,0.0596234309623431,0.22698002908098172,-0.06451971868601436,-0.13829787234042556,3
PRE_IB,POST_IB_PRE_OB,-0.016075415927677583,0.04791666666666666,0.0008350675693475362,0.025476146571481395,-0.009626985590474507,-0.009268459734991796,4
PRE_IB,POST_OB_PRE_TO,-0.27062654905498573,-0.5833333333333333,0.07983193277310924,0.2361344537815128,-0.07782243332115457,-0.13189623675557172,4
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.25455113312730815,-0.63125,0.0789968652037617,0.2106583072100314,-0.06819544773068006,-0.12262777702057992,4
PRE_IB,POST_IB_PRE_OB,-0.02092744684060932,-0.3787375415282392,-0.004575718445961913,0.03997161503472507,-0.008644424021746255,-0.012511487767708496,5
PRE_IB,POST_OB_PRE_TO,-0.36166478801392143,-0.8523809523809525,0.07960199004975124,0.308358208955224,-0.077412935323383,-0.14522388059701485,5
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3407373411733121,-0.4736434108527132,0.08417770849571315,0.2683865939204989,-0.06876851130163675,-0.13271239282930636,5
PRE_IB,POST_IB_PRE_OB,-0.07457753965866343,0.18493150684931503,0.031850981405734835,0.05346204359599338,0.0026041588401650717,0.014405220940261865,6
PRE_IB,POST_OB_PRE_TO,-0.3834768679454048,0.0,0.10480349344978165,0.3105231612295575,-0.07248052059251653,-0.14347974997859425,6
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3088993282867414,-0.18493150684931503,0.07295251204404682,0.2570611176335641,-0.0750846794326816,-0.15788497091885612,6
PRE_IB,POST_IB_PRE_OB,0.07589081077125392,-0.2634245187436677,-0.03784514515529419,-0.0898043191726656,0.0029825272905471545,0.013818648822197521,7
PRE_IB,POST_OB_PRE_TO,-0.17921114640906155,-0.365079365079365,0.038095238095238126,0.15704318936877068,-0.09939091915836096,-0.13592469545957908,7
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2551019571803155,-0.10165484633569732,0.07594038325053232,0.24684750854143628,-0.10237344644890811,-0.1497433442817766,7
PRE_IB,POST_IB_PRE_OB,0.07317324413697901,0.09055118110236221,-0.017808001272568194,-0.07318857870038975,0.021653543307086603,-0.044786447148651876,8
PRE_IB,POST_OB_PRE_TO,-0.26087374111062833,-0.40909090909090906,0.06565656565656565,0.2231489203966267,-0.05275229357798167,-0.18049763691965526,8
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.33404698524760734,-0.49964209019327127,0.08346456692913384,0.29633749909701645,-0.07440583688506827,-0.13571118977100338,8
PRE_IB,POST_IB_PRE_OB,-0.05347644205078694,-0.3344360902255639,-0.0015026090757587762,0.06272709887167716,0.027292844848782943,0.054121246892331276,9
PRE_IB,POST_OB_PRE_TO,-0.2810258017390119,-0.46909090909090906,0.06425702811244982,0.2498455359901144,-0.06271238801359277,-0.15573833796725356,9
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.22754935968822498,-0.13465481886534514,0.0657596371882086,0.18711843711843723,-0.09000523286237572,-0.20985958485958484,9
PRE_IB,POST_IB_PRE_OB,0.18048141391999395,0.11227661227661223,-0.03517620020429012,-0.1332162921348315,-0.04475229826353416,-0.13709461184882543,10
PRE_IB,POST_OB_PRE_TO,-0.17659561611479524,0.03535353535353536,0.05681818181818178,0.15906862745098033,-0.09937611408199637,-0.21318516042780755,10
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3570770300347892,-0.07692307692307687,0.0919943820224719,0.2922849195858118,-0.05462381581846221,-0.07609054857898212,10
PRE_IB,POST_IB_PRE_OB,-0.0004559487841893084,-0.010167464114832603,0.002137765757551535,-0.0016295073281624994,-0.012644853652375887,-0.03444605991904831,11
PRE_IB,POST_OB_PRE_TO,-0.2352990861652854,-0.11616161616161613,0.06542056074766356,0.22720664589823472,-0.08239875389408097,-0.2119418483904466,11
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.23484313738109608,-0.10599415204678353,0.06328279499011202,0.22883615322639722,-0.06975390024170508,-0.1774957884713983,11
PRE_IB,POST_IB_PRE_OB,0.012115233935906411,-0.6304347826086957,0.0003639010189228631,-0.021615720524017557,0.0010917030567685615,0.04617903930131029,12
PRE_IB,POST_OB_PRE_TO,-0.2873518202094695,-1.0,0.06986899563318777,0.25427583697234357,-0.055608624454148464,-0.1066821324599706,12
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2994670541453759,-0.3695652173913043,0.0695050946142649,0.27589155749636113,-0.056700327510917026,-0.1528611717612809,12
PRE_IB,POST_IB_PRE_OB,-0.05105886705033835,0.3941605839416058,-0.0021333393853599503,0.05520299348366936,0.017385864924439498,0.006914913233796449,13
PRE_IB,POST_OB_PRE_TO,-0.3239130834085391,0.0,0.0772200772200772,0.2764478764478764,-0.08455598455598454,-0.17818532818532817,13
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.27285421635820073,-0.3941605839416058,0.07935341660543715,0.22124488296420702,-0.10194184948042403,-0.18510024141912462,13
PRE_IB,POST_IB_PRE_OB,-0.037826162955916565,-0.5490430622009569,-0.024148047844730347,0.05955233330825749,-0.025376764713257643,-0.031604353168333654,14
PRE_IB,POST_OB_PRE_TO,-0.3197006588516833,-0.7727272727272727,0.07109004739336489,0.32999627243197194,-0.09659726290004794,-0.16508333777091366,14
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.28187449589576674,-0.22368421052631582,0.09523809523809523,0.27044393912371445,-0.0712204981867903,-0.13347898460258,14
PRE_IB,POST_IB_PRE_OB,-0.06765228998598483,-0.6074074074074074,0.0164017451434198,0.0986651124100974,0.01971915866432017,0.005204590338333648,15
PRE_IB,POST_OB_PRE_TO,-0.30569468025905555,-0.632996632996633,0.08015267175572521,0.31607588239740003,-0.0607474869624367,-0.16980953820572897,15
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.23804239027307073,-0.025589225589225606,0.06375092661230541,0.21741076998730263,-0.08046664562675687,-0.17501412854406262,15
PRE_IB,POST_IB_PRE_OB,-0.17010387848315667,0.17096336499321574,0.05225779539055164,0.11400563145270626,0.02034449195258453,0.05594431118990517,16
PRE_IB,POST_OB_PRE_TO,-0.5078707439928215,0.13636363636363635,0.14418604651162792,0.3984952120383037,-0.06463748290013682,-0.09067487460100299,16
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.33776686550966484,-0.034599728629579385,0.09192825112107628,0.2844895805855974,-0.08498197485272135,-0.14661918579090816,16
PRE_IB,POST_IB_PRE_OB,-0.0025935151643549093,-0.07371794871794868,0.015570872810324668,-0.006338174387218759,0.013239134948475006,0.07611273208099745,17
PRE_IB,POST_OB_PRE_TO,-0.17610735761040452,-0.275,0.05296610169491524,0.17602401129943498,-0.06479519774011294,-0.05552612994350281,17
