episode_id,comparison,coverage,n_assessed_nodes
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,ONE_SHOT_EXECUTABLE,1.0,11
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,ROLLING_COMPARABLE,1.0,11
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,SELECTED_ACTION_DIFFERENCE,0.0,11
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,POST_REPLAY_COMPARABLE,1.0,11
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,MEAN_POST_REPLAY_DIFFERENCE,0.0,11
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,ONE_SHOT_EXECUTABLE,1.0,8
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,ROLLING_COMPARABLE,1.0,8
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,SELECTED_ACTION_DIFFERENCE,0.0,8
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,POST_REPLAY_COMPARABLE,1.0,8
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,MEAN_POST_REPLAY_DIFFERENCE,0.0,8
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,ONE_SHOT_EXECUTABLE,1.0,15
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,ROLLING_COMPARABLE,1.0,15
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,SELECTED_ACTION_DIFFERENCE,0.0,15
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,POST_REPLAY_COMPARABLE,1.0,15
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,MEAN_POST_REPLAY_DIFFERENCE,0.0,15
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,ONE_SHOT_EXECUTABLE,1.0,8
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,ROLLING_COMPARABLE,1.0,8
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,SELECTED_ACTION_DIFFERENCE,0.0,8
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,POST_REPLAY_COMPARABLE,1.0,8
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,MEAN_POST_REPLAY_DIFFERENCE,0.0,8
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,ONE_SHOT_EXECUTABLE,1.0,11
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,ROLLING_COMPARABLE,1.0,11
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,SELECTED_ACTION_DIFFERENCE,0.0,11
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,POST_REPLAY_COMPARABLE,1.0,11
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,MEAN_POST_REPLAY_DIFFERENCE,0.0,11
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,ONE_SHOT_EXECUTABLE,1.0,1
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,ROLLING_COMPARABLE,1.0,1
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,SELECTED_ACTION_DIFFERENCE,0.0,1
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,POST_REPLAY_COMPARABLE,1.0,1
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,MEAN_POST_REPLAY_DIFFERENCE,0.0,1
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,ONE_SHOT_EXECUTABLE,1.0,8
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,ROLLING_COMPARABLE,1.0,8
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,SELECTED_ACTION_DIFFERENCE,0.0,8
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,POST_REPLAY_COMPARABLE,1.0,8
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,MEAN_POST_REPLAY_DIFFERENCE,0.0,8
