stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
PRE_IB,4,2,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,4,1,2.0,1.0,0.5,0.5,0.25,0.25,0
POST_IB_PRE_OB,64,4,1.0,5.0,0.9667338709677421,0.0,0.057812500000000044,0.0,0.9953254966659794,0.0,0.0,2,2,0.8571428571428571,PASS,PASS,831,9,4.0,1.0,0.2734375,0.390625,0.03125,0.03125,0
POST_OB_PRE_TO,10,4,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,29,17,4.0,1.0,0.5,0.76,0.2,0.2,0
PRE_IB,12,2,1.0,5.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4,4,1.0,PASS,PASS,32,4,2.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1
POST_IB_PRE_OB,79,4,1.0,5.0,0.7903871829105474,0.10126582278481011,0.1924050632911393,0.0,0.9155358862758005,0.0,0.0,4,4,1.0,PASS,PASS,1626,21,4.0,1.0,0.44303797468354433,0.5949367088607596,0.05063291139240506,0.05063291139240506,1
POST_OB_PRE_TO,7,3,1.0,5.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4,4,1.0,PASS,PASS,14,14,3.0,1.0,0.4285714285714286,0.6428571428571429,0.5714285714285714,0.5714285714285714,1
PRE_IB,14,3,1.0,5.0,0.9058823529411766,0.0,0.14285714285714285,0.0,0.9643652561247213,0.0,0.0,1,1,1.0,PASS,PASS,56,8,3.0,1.0,0.35714285714285715,0.5,0.07142857142857142,0.07142857142857142,2
POST_IB_PRE_OB,49,5,1.0,5.0,0.7779675491033305,0.04081632653061229,0.322448979591837,0.12244897959183673,0.8689461597346262,0.10204081632653061,0.02040816326530612,1,1,1.0,PASS,PASS,729,13,5.0,1.0,0.326530612244898,0.5367346938775511,0.02040816326530612,0.02040816326530612,2
POST_OB_PRE_TO,4,4,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,6,6,4.0,1.0,0.375,0.625,0.25,0.25,2
PRE_IB,10,2,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,24,6,2.0,1.0,0.5,0.5,0.2,0.2,3
POST_IB_PRE_OB,59,2,1.0,5.0,0.8918918918918919,0.05084745762711862,0.10169491525423735,0.0,0.9738898808652637,0.0,0.0,3,3,1.0,PASS,PASS,858,6,2.0,1.0,0.5,0.5,0.05084745762711865,0.05084745762711865,3
POST_OB_PRE_TO,5,2,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,6,6,2.0,1.0,0.49999999999999994,0.49999999999999994,0.6,0.6,3
PRE_IB,8,1,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,ABSTAIN_INSUFFICIENT_MATCHES,0,0,,,,,0.25,0.25,4
POST_IB_PRE_OB,61,5,1.0,5.0,0.7122302158273383,0.09836065573770486,0.3278688524590164,0.19672131147540983,0.8200915416567451,0.16393442622950818,0.03278688524590164,2,2,0.8571428571428571,PASS,PASS,676,21,5.0,1.0,0.32786885245901637,0.42622950819672134,0.03278688524590164,0.03278688524590164,4
POST_OB_PRE_TO,7,4,1.0,5.0,0.9999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,18,13,4.0,1.0,0.2857142857142857,0.742857142857143,0.2857142857142857,0.2857142857142857,4
PRE_IB,8,2,1.0,5.0,0.8461538461538463,0.0,0.16249999999999998,0.0,0.926829268292683,0.0,0.0,2,2,1.0,PASS,PASS,16,2,2.0,1.0,0.3125,0.3125,0.25,0.25,5
POST_IB_PRE_OB,41,4,1.0,5.0,0.5781637717121588,0.2195121951219512,0.36585365853658536,0.2926829268292683,0.6413744985173557,0.24390243902439024,0.04878048780487805,1,2,0.0,PASS,PASS,600,13,4.0,1.0,0.3414634146341463,0.6585365853658536,0.024390243902439025,0.04878048780487805,5
POST_OB_PRE_TO,7,3,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,14,8,3.0,1.0,0.42857142857142855,0.7857142857142857,0.2857142857142857,0.2857142857142857,5
PRE_IB,8,2,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,12,3,2.0,1.0,0.5,0.5,0.375,0.375,6
POST_IB_PRE_OB,84,5,1.0,5.0,0.931315483119907,0.023809523809523725,0.07142857142857145,0.0,0.9856950368261623,0.0,0.0,2,2,0.8888888888888888,PASS,PASS,1940,20,5.0,1.0,0.36309523809523814,0.46607142857142875,0.023809523809523808,0.023809523809523808,6
POST_OB_PRE_TO,9,5,1.0,5.0,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,31,24,5.0,1.0,0.3055555555555556,0.611111111111111,0.2222222222222222,0.2222222222222222,6
PRE_IB,10,3,1.0,5.0,0.9069767441860466,0.0,0.10999999999999997,0.0,0.9631901840490799,0.0,0.0,1,1,1.0,PASS,PASS,32,5,3.0,1.0,0.44999999999999996,0.48,0.1,0.1,7
POST_IB_PRE_OB,55,5,1.0,5.0,0.8480325644504749,0.036363636363636376,0.15272727272727285,0.0,0.941174347684868,0.0,0.0,2,2,1.0,PASS,PASS,737,12,5.0,1.0,0.3181818181818182,0.5127272727272727,0.03636363636363636,0.03636363636363636,7
POST_OB_PRE_TO,5,4,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,9,9,4.0,1.0,0.4,0.7000000000000001,0.4,0.4,7
PRE_IB,8,3,1.0,5.0,0.5714285714285714,0.125,0.36249999999999993,0.125,0.6190476190476191,0.125,0.0,1,1,1.0,PASS,PASS,20,3,3.0,1.0,0.375,0.375,0.125,0.125,8
POST_IB_PRE_OB,51,5,1.0,5.0,0.8015873015873015,0.05882352941176472,0.1960784313725491,0.09803921568627451,0.858637083993661,0.09803921568627451,0.0,1,1,0.16666666666666666,PASS,PASS,997,19,5.0,1.0,0.3137254901960784,0.6313725490196076,0.0196078431372549,0.0196078431372549,8
POST_OB_PRE_TO,8,4,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,21,13,4.0,1.0,0.375,0.7875000000000001,0.125,0.125,8
PRE_IB,12,3,1.0,5.0,0.8965517241379309,0.0,0.08333333333333331,0.0,0.9565217391304347,0.0,0.0,2,2,1.0,PASS,PASS,44,11,3.0,1.0,0.5416666666666666,0.5416666666666666,0.16666666666666666,0.16666666666666666,9
POST_IB_PRE_OB,69,3,1.0,5.0,0.9216710182767623,0.0,0.1159420289855072,0.0,0.9817127809374029,0.0,0.0,2,2,0.8571428571428571,PASS,PASS,1550,16,3.0,1.0,0.3115942028985507,0.6159420289855073,0.028985507246376812,0.028985507246376812,9
POST_OB_PRE_TO,7,3,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,16,16,3.0,1.0,0.35714285714285715,0.7142857142857142,0.2857142857142857,0.2857142857142857,9
