stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
PRE_IB,POST_IB_PRE_OB,0.033266129032257896,0.1428571428571429,0.0,-0.057812500000000044,0.2265625,0.109375,0
PRE_IB,POST_OB_PRE_TO,0.0,0.0,0.0,0.0,0.0,-0.26,0
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.033266129032257896,-0.1428571428571429,0.0,0.057812500000000044,-0.2265625,-0.369375,0
PRE_IB,POST_IB_PRE_OB,0.20961281708945245,0.0,-0.10126582278481011,-0.1924050632911393,0.05696202531645567,-0.09493670886075956,1
PRE_IB,POST_OB_PRE_TO,-1.1102230246251565e-16,0.0,0.0,0.0,0.0714285714285714,-0.1428571428571429,1
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.20961281708945256,0.0,0.10126582278481011,0.1924050632911393,0.01446654611211573,-0.04792043399638335,1
PRE_IB,POST_IB_PRE_OB,0.12791480383784604,0.0,-0.04081632653061229,-0.17959183673469414,0.030612244897959162,-0.03673469387755113,2
PRE_IB,POST_OB_PRE_TO,-0.09411764705882342,0.0,0.0,0.14285714285714285,-0.01785714285714285,-0.125,2
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.22203245089666945,0.0,0.04081632653061229,0.322448979591837,-0.04846938775510201,-0.08826530612244887,2
PRE_IB,POST_IB_PRE_OB,0.10810810810810811,0.0,-0.05084745762711862,-0.10169491525423735,0.0,0.0,3
PRE_IB,POST_OB_PRE_TO,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,3
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.10810810810810811,0.0,0.05084745762711862,0.10169491525423735,5.551115123125783e-17,5.551115123125783e-17,3
PRE_IB,POST_IB_PRE_OB,0.28776978417266175,0.1428571428571429,-0.09836065573770486,-0.3278688524590164,,,4
PRE_IB,POST_OB_PRE_TO,2.220446049250313e-16,0.0,0.0,0.0,,,4
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2877697841726615,-0.1428571428571429,0.09836065573770486,0.3278688524590164,0.04215456674473067,-0.31662763466042165,4
PRE_IB,POST_IB_PRE_OB,0.26799007444168743,1.0,-0.2195121951219512,-0.20335365853658538,-0.02896341463414631,-0.3460365853658536,5
PRE_IB,POST_OB_PRE_TO,-0.15384615384615374,0.0,0.0,0.16249999999999998,-0.11607142857142855,-0.4732142857142857,5
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.4218362282878412,-1.0,0.2195121951219512,0.36585365853658536,-0.08710801393728224,-0.12717770034843212,5
PRE_IB,POST_IB_PRE_OB,0.06868451688009303,0.11111111111111116,-0.023809523809523725,-0.07142857142857145,0.13690476190476186,0.03392857142857125,6
PRE_IB,POST_OB_PRE_TO,1.1102230246251565e-16,0.0,0.0,0.0,0.19444444444444442,-0.11111111111111105,6
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.06868451688009292,-0.11111111111111116,0.023809523809523725,0.07142857142857145,0.05753968253968256,-0.1450396825396823,6
PRE_IB,POST_IB_PRE_OB,0.058944179735571645,0.0,-0.036363636363636376,-0.04272727272727288,0.13181818181818178,-0.032727272727272716,7
PRE_IB,POST_OB_PRE_TO,-0.09302325581395343,0.0,0.0,0.10999999999999997,0.04999999999999993,-0.22000000000000008,7
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.15196743554952508,0.0,0.036363636363636376,0.15272727272727285,-0.08181818181818185,-0.18727272727272737,7
PRE_IB,POST_IB_PRE_OB,-0.23015873015873012,0.8333333333333334,0.06617647058823528,0.16642156862745083,0.06127450980392157,-0.2563725490196076,8
PRE_IB,POST_OB_PRE_TO,-0.4285714285714286,0.0,0.125,0.36249999999999993,0.0,-0.4125000000000001,8
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.19841269841269848,-0.8333333333333334,0.05882352941176472,0.1960784313725491,-0.06127450980392157,-0.1561274509803925,8
PRE_IB,POST_IB_PRE_OB,-0.025119294138831405,0.1428571428571429,0.0,-0.03260869565217389,0.2300724637681159,-0.07427536231884069,9
PRE_IB,POST_OB_PRE_TO,-0.10344827586206906,0.0,0.0,0.08333333333333331,0.18452380952380948,-0.17261904761904756,9
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.07832898172323766,-0.1428571428571429,0.0,0.1159420289855072,-0.04554865424430643,-0.09834368530020687,9
PRE_IB,POST_IB_PRE_OB,0.11606217616580305,0.25,-0.05194805194805191,-0.12987012987012989,,,10
