stage,q,method,measure,capture
POST_IB_PRE_OB,0.05,DELAY,F,0.271514376852176
POST_IB_PRE_OB,0.05,DELAY,P,0.50701408553553
POST_IB_PRE_OB,0.05,DELAY,R,0.46037902104483275
POST_IB_PRE_OB,0.05,DELAY,F_continuity,
POST_IB_PRE_OB,0.05,DELAY,F_execution,0.24681105347408924
POST_IB_PRE_OB,0.05,DELAY,F_propagation,0.28354624625224956
POST_IB_PRE_OB,0.05,DELAY,P_time,0.47642407014673455
POST_IB_PRE_OB,0.05,DELAY,P_itinerary,0.7929683288082063
POST_IB_PRE_OB,0.05,DELAY,P_service,1.0
POST_IB_PRE_OB,0.05,DELAY,R_operating,0.46037902104483264
POST_IB_PRE_OB,0.05,CONSEQUENCE,F,0.271514376852176
POST_IB_PRE_OB,0.05,CONSEQUENCE,P,0.50701408553553
POST_IB_PRE_OB,0.05,CONSEQUENCE,R,0.46037902104483275
POST_IB_PRE_OB,0.05,CONSEQUENCE,F_continuity,
POST_IB_PRE_OB,0.05,CONSEQUENCE,F_execution,0.24681105347408924
POST_IB_PRE_OB,0.05,CONSEQUENCE,F_propagation,0.28354624625224956
POST_IB_PRE_OB,0.05,CONSEQUENCE,P_time,0.47642407014673455
POST_IB_PRE_OB,0.05,CONSEQUENCE,P_itinerary,0.7929683288082063
POST_IB_PRE_OB,0.05,CONSEQUENCE,P_service,1.0
POST_IB_PRE_OB,0.05,CONSEQUENCE,R_operating,0.46037902104483264
POST_OB_PRE_TO,0.05,DELAY,F,0.449666209023879
POST_OB_PRE_TO,0.05,DELAY,P,0.6982258073359684
POST_OB_PRE_TO,0.05,DELAY,R,0.44966620902387894
POST_OB_PRE_TO,0.05,DELAY,F_continuity,
POST_OB_PRE_TO,0.05,DELAY,F_execution,
POST_OB_PRE_TO,0.05,DELAY,F_propagation,0.44966620902387894
POST_OB_PRE_TO,0.05,DELAY,P_time,0.6982258073359686
POST_OB_PRE_TO,0.05,DELAY,P_itinerary,
POST_OB_PRE_TO,0.05,DELAY,P_service,
POST_OB_PRE_TO,0.05,DELAY,R_operating,0.44966620902387894
POST_OB_PRE_TO,0.05,CONSEQUENCE,F,0.449666209023879
POST_OB_PRE_TO,0.05,CONSEQUENCE,P,0.6982258073359684
POST_OB_PRE_TO,0.05,CONSEQUENCE,R,0.44966620902387894
POST_OB_PRE_TO,0.05,CONSEQUENCE,F_continuity,
POST_OB_PRE_TO,0.05,CONSEQUENCE,F_execution,
POST_OB_PRE_TO,0.05,CONSEQUENCE,F_propagation,0.44966620902387894
POST_OB_PRE_TO,0.05,CONSEQUENCE,P_time,0.6982258073359686
POST_OB_PRE_TO,0.05,CONSEQUENCE,P_itinerary,
POST_OB_PRE_TO,0.05,CONSEQUENCE,P_service,
POST_OB_PRE_TO,0.05,CONSEQUENCE,R_operating,0.44966620902387894
PRE_IB,0.05,DELAY,F,0.301751732041481
PRE_IB,0.05,DELAY,P,0.29394307033658984
PRE_IB,0.05,DELAY,R,0.5005562744161152
PRE_IB,0.05,DELAY,F_continuity,0.0
PRE_IB,0.05,DELAY,F_execution,0.26343218943197716
PRE_IB,0.05,DELAY,F_propagation,0.31933393409389216
PRE_IB,0.05,DELAY,P_time,0.30626096857406215
PRE_IB,0.05,DELAY,P_itinerary,0.018638985595961492
PRE_IB,0.05,DELAY,P_service,
PRE_IB,0.05,DELAY,R_operating,0.5005562744161152
PRE_IB,0.05,CONSEQUENCE,F,0.301751732041481
PRE_IB,0.05,CONSEQUENCE,P,0.29394307033658984
PRE_IB,0.05,CONSEQUENCE,R,0.5005562744161152
PRE_IB,0.05,CONSEQUENCE,F_continuity,0.0
PRE_IB,0.05,CONSEQUENCE,F_execution,0.26343218943197716
PRE_IB,0.05,CONSEQUENCE,F_propagation,0.31933393409389216
PRE_IB,0.05,CONSEQUENCE,P_time,0.30626096857406215
PRE_IB,0.05,CONSEQUENCE,P_itinerary,0.018638985595961492
PRE_IB,0.05,CONSEQUENCE,P_service,
PRE_IB,0.05,CONSEQUENCE,R_operating,0.5005562744161152
POST_IB_PRE_OB,0.1,DELAY,F,0.271514376852176
POST_IB_PRE_OB,0.1,DELAY,P,0.50701408553553
POST_IB_PRE_OB,0.1,DELAY,R,0.46037902104483275
POST_IB_PRE_OB,0.1,DELAY,F_continuity,
POST_IB_PRE_OB,0.1,DELAY,F_execution,0.24681105347408924
POST_IB_PRE_OB,0.1,DELAY,F_propagation,0.28354624625224956
POST_IB_PRE_OB,0.1,DELAY,P_time,0.47642407014673455
POST_IB_PRE_OB,0.1,DELAY,P_itinerary,0.7929683288082063
POST_IB_PRE_OB,0.1,DELAY,P_service,1.0
POST_IB_PRE_OB,0.1,DELAY,R_operating,0.46037902104483264
POST_IB_PRE_OB,0.1,CONSEQUENCE,F,0.271514376852176
POST_IB_PRE_OB,0.1,CONSEQUENCE,P,0.50701408553553
POST_IB_PRE_OB,0.1,CONSEQUENCE,R,0.46037902104483275
POST_IB_PRE_OB,0.1,CONSEQUENCE,F_continuity,
POST_IB_PRE_OB,0.1,CONSEQUENCE,F_execution,0.24681105347408924
POST_IB_PRE_OB,0.1,CONSEQUENCE,F_propagation,0.28354624625224956
POST_IB_PRE_OB,0.1,CONSEQUENCE,P_time,0.47642407014673455
POST_IB_PRE_OB,0.1,CONSEQUENCE,P_itinerary,0.7929683288082063
POST_IB_PRE_OB,0.1,CONSEQUENCE,P_service,1.0
POST_IB_PRE_OB,0.1,CONSEQUENCE,R_operating,0.46037902104483264
POST_OB_PRE_TO,0.1,DELAY,F,0.449666209023879
POST_OB_PRE_TO,0.1,DELAY,P,0.6982258073359684
POST_OB_PRE_TO,0.1,DELAY,R,0.44966620902387894
POST_OB_PRE_TO,0.1,DELAY,F_continuity,
POST_OB_PRE_TO,0.1,DELAY,F_execution,
POST_OB_PRE_TO,0.1,DELAY,F_propagation,0.44966620902387894
POST_OB_PRE_TO,0.1,DELAY,P_time,0.6982258073359686
POST_OB_PRE_TO,0.1,DELAY,P_itinerary,
POST_OB_PRE_TO,0.1,DELAY,P_service,
POST_OB_PRE_TO,0.1,DELAY,R_operating,0.44966620902387894
POST_OB_PRE_TO,0.1,CONSEQUENCE,F,0.449666209023879
POST_OB_PRE_TO,0.1,CONSEQUENCE,P,0.6982258073359684
POST_OB_PRE_TO,0.1,CONSEQUENCE,R,0.44966620902387894
POST_OB_PRE_TO,0.1,CONSEQUENCE,F_continuity,
POST_OB_PRE_TO,0.1,CONSEQUENCE,F_execution,
POST_OB_PRE_TO,0.1,CONSEQUENCE,F_propagation,0.44966620902387894
POST_OB_PRE_TO,0.1,CONSEQUENCE,P_time,0.6982258073359686
POST_OB_PRE_TO,0.1,CONSEQUENCE,P_itinerary,
POST_OB_PRE_TO,0.1,CONSEQUENCE,P_service,
POST_OB_PRE_TO,0.1,CONSEQUENCE,R_operating,0.44966620902387894
PRE_IB,0.1,DELAY,F,0.301751732041481
PRE_IB,0.1,DELAY,P,0.29394307033658984
PRE_IB,0.1,DELAY,R,0.5005562744161152
PRE_IB,0.1,DELAY,F_continuity,0.0
PRE_IB,0.1,DELAY,F_execution,0.26343218943197716
PRE_IB,0.1,DELAY,F_propagation,0.31933393409389216
PRE_IB,0.1,DELAY,P_time,0.30626096857406215
PRE_IB,0.1,DELAY,P_itinerary,0.018638985595961492
PRE_IB,0.1,DELAY,P_service,
PRE_IB,0.1,DELAY,R_operating,0.5005562744161152
PRE_IB,0.1,CONSEQUENCE,F,0.301751732041481
PRE_IB,0.1,CONSEQUENCE,P,0.29394307033658984
PRE_IB,0.1,CONSEQUENCE,R,0.5005562744161152
PRE_IB,0.1,CONSEQUENCE,F_continuity,0.0
PRE_IB,0.1,CONSEQUENCE,F_execution,0.26343218943197716
PRE_IB,0.1,CONSEQUENCE,F_propagation,0.31933393409389216
PRE_IB,0.1,CONSEQUENCE,P_time,0.30626096857406215
PRE_IB,0.1,CONSEQUENCE,P_itinerary,0.018638985595961492
PRE_IB,0.1,CONSEQUENCE,P_service,
PRE_IB,0.1,CONSEQUENCE,R_operating,0.5005562744161152
POST_IB_PRE_OB,0.2,DELAY,F,0.428818879414975
POST_IB_PRE_OB,0.2,DELAY,P,0.6158721568515704
POST_IB_PRE_OB,0.2,DELAY,R,0.8362144860186582
POST_IB_PRE_OB,0.2,DELAY,F_continuity,
POST_IB_PRE_OB,0.2,DELAY,F_execution,0.37553190526603625
POST_IB_PRE_OB,0.2,DELAY,F_propagation,0.4547725498532552
POST_IB_PRE_OB,0.2,DELAY,P_time,0.596111769239513
POST_IB_PRE_OB,0.2,DELAY,P_itinerary,0.796232839310569
POST_IB_PRE_OB,0.2,DELAY,P_service,1.0
POST_IB_PRE_OB,0.2,DELAY,R_operating,0.8362144860186582
POST_IB_PRE_OB,0.2,CONSEQUENCE,F,0.428818879414975
POST_IB_PRE_OB,0.2,CONSEQUENCE,P,0.6158721568515704
POST_IB_PRE_OB,0.2,CONSEQUENCE,R,0.8362144860186582
POST_IB_PRE_OB,0.2,CONSEQUENCE,F_continuity,
POST_IB_PRE_OB,0.2,CONSEQUENCE,F_execution,0.37553190526603625
POST_IB_PRE_OB,0.2,CONSEQUENCE,F_propagation,0.4547725498532552
POST_IB_PRE_OB,0.2,CONSEQUENCE,P_time,0.596111769239513
