stage,q,status,n,k,Capture_D_F,Capture_C_F,Delta_Capture_F_pp,Capture_D_P,Capture_C_P,Delta_Capture_P_pp,Capture_D_R,Capture_C_R,Delta_Capture_R_pp,Capture_D_F_ci_low,Capture_D_F_ci_high,Capture_C_F_ci_low,Capture_C_F_ci_high,Delta_Capture_F_pp_ci_low,Delta_Capture_F_pp_ci_high,Capture_D_P_ci_low,Capture_D_P_ci_high,Capture_C_P_ci_low,Capture_C_P_ci_high,Delta_Capture_P_pp_ci_low,Delta_Capture_P_pp_ci_high,Capture_D_R_ci_low,Capture_D_R_ci_high,Capture_C_R_ci_low,Capture_C_R_ci_high,Delta_Capture_R_pp_ci_low,Delta_Capture_R_pp_ci_high
PRE_IB,0.05,PASS,48,3,0.15266502965745185,0.13047361289268924,-2.2191416764762604,0.15368336288460746,0.16931293381807969,1.5629570933472225,0.09643181017074029,0.16544493166108687,6.901312149034658,0.1112243632683708,0.17737131370246542,0.07831340149095865,0.17037623243761763,-5.415079238704811,0.0,0.07064509995126207,0.2030393991555572,0.11699477518604418,0.20986962711216675,-0.22343880680095857,7.995787767863453,0.012268668891985494,0.16618395325533278,0.08990323440257347,0.22317578227724166,0.0,17.194347381884786
PRE_IB,0.1,PASS,48,5,0.22755157575049573,0.18399792004826893,-4.355365570222681,0.19225177650532457,0.25846813171919786,6.621635521387328,0.11104973111707117,0.26145272091979926,15.040298980272809,0.19306001961106578,0.2758976518561373,0.14509015374794162,0.25810592689236805,-7.318190657644805,0.0,0.12658538297000982,0.29501060652715017,0.18513363811825076,0.32264855845104856,-0.20243938631411357,11.171143169740857,0.043343978593985186,0.24293447304342267,0.15454896228520532,0.3429081716212897,0.0,23.878637297467677
PRE_IB,0.2,PASS,48,10,0.39023593324943495,0.3384157878180342,-5.182014543140073,0.33442991716407805,0.3864854006447427,5.205548348066463,0.2706879220123814,0.44932326646511556,17.863534445273416,0.3382813206805545,0.4393080184936339,0.27334867243522537,0.40747161380210817,-9.001784114465327,-1.380829788702339,0.2531566669266072,0.4473471849233977,0.31653595862351575,0.47857551795731446,-2.190324656889302,12.17318677464197,0.15158184182005777,0.3967140700020439,0.31439643379032534,0.5470017041162907,3.946338172897624,28.88216852770817
PRE_IB,0.3,PASS,48,15,0.525187576001797,0.4674341331149855,-5.775344288681151,0.5200706867241585,0.5357853259369055,1.5714639212747072,0.36991636135385114,0.5712125977286013,20.12962363747502,0.46573987767785396,0.5743630489121088,0.39664368591594207,0.5415819080801653,-9.535951189163042,-1.529001596264322,0.4065764490091835,0.590215607438118,0.4421409859717776,0.6078522875397931,-2.289387566507283,9.852814300434373,0.2645441025589311,0.5241016045812615,0.445953693874731,0.6839499288296454,5.370210231267498,30.35449210481423
POST_IB_PRE_OB,0.05,PASS,120,6,0.12939374573168938,0.10906099815998319,-2.0332747571706196,0.10276321526093989,0.15108241190543098,4.831919664449109,0.0843276842178493,0.17722305453554282,9.289537031769353,0.11565058692135809,0.15794032573584052,0.09246985239054806,0.14296827614339327,-4.0284306338652,-0.3711435408011204,0.07921173223146108,0.15903165882034775,0.13002985839135203,0.18729772768209463,0.5979696726836353,7.931504258851959,0.020728090726763786,0.1563207369997387,0.0859509402776573,0.24382374673273335,1.0351610630999617,17.58210964767527
POST_IB_PRE_OB,0.1,PASS,120,12,0.22972176623450732,0.20791036285208436,-2.181140338242296,0.23797226783422473,0.2633174428353323,2.5345175001107583,0.16552877644863623,0.2441328279746575,7.860405152602127,0.20980302479827398,0.2613862962335799,0.18378343242866457,0.2471425930229954,-4.0321433989867845,-0.29426677715248595,0.18721262821902404,0.2858475874759919,0.2169461904536009,0.3023682663607666,-0.23661445510261225,7.117391458729524,0.0853944994841194,0.26740203879099256,0.1614541764792692,0.35063294688029456,0.6674155139300066,17.892806005204164
POST_IB_PRE_OB,0.2,PASS,120,24,0.39910853375648003,0.3534219814983241,-4.5686552258155935,0.3915520342894847,0.4041292407005605,1.2577206411075792,0.3115405950777942,0.48736995899289176,17.582936391509758,0.37037501728695266,0.433690001248916,0.3189294394549272,0.40472106635845084,-6.538932222650089,-1.2305120704183448,0.3328167878505784,0.44159969202321825,0.35428569665303306,0.45529407174137315,-1.295836076154112,4.6725507599238805,0.1938628480068078,0.42588804395570845,0.3616356819804601,0.58692117995714,3.7660634408427174,31.53812045816793
POST_IB_PRE_OB,0.3,PASS,120,36,0.5280978014458838,0.4962705617019161,-3.182723974396773,0.5052674943362883,0.5291721749002185,2.3904680563930247,0.3673671513426936,0.6110826007320235,24.37154493893299,0.49768566450704477,0.5661693653669798,0.45389064979493277,0.5404273086046264,-5.621361034307964,-1.6280472128610208,0.4507865636318892,0.5615282442709554,0.4828299621104177,0.580395422613273,-0.6363150132286998,5.747487224815141,0.2674769973167798,0.5036426890220693,0.5189430238953471,0.7196507118680359,12.01316997645471,36.984288251777855
POST_OB_PRE_TO,0.05,PASS,67,4,0.22984910408395862,0.22984910408395862,0.0,0.3367558578132744,0.3367558578132744,0.0,0.2298491040839586,0.2298491040839586,0.0,0.16813219362018217,0.3108046051754691,0.1665870170629469,0.3087551936803594,-0.5397677392004742,0.0,0.1792955447645257,0.41580247081640137,0.2189155781936832,0.42422238500449894,0.0,9.92299176280199,0.1681321936201821,0.31080460517546904,0.16658701706294687,0.3087551936803595,-0.5397677392004714,0.0
POST_OB_PRE_TO,0.1,PASS,67,7,0.37668663511629064,0.37452261714965235,-0.21640179666382875,0.4219766635409989,0.4748509750175965,5.28743114765976,0.37668663511629075,0.37452261714965235,-0.21640179666383985,0.30183373343848185,0.5181256134643912,0.29865704537367654,0.5170703748058217,-0.7093452150772847,0.0,0.3017702544537553,0.5826127221660827,0.34812285711366037,0.6003589456303732,0.0,11.639045976721313,0.30183373343848185,0.5181256134643913,0.29865704537367654,0.5170703748058217,-0.7093452150772955,0.0
