stage,q,status,n,k,Pareto_reversal_count_D,Pareto_rate_D,Pareto_complete_selected_D,Pareto_reversal_count_C,Pareto_rate_C,Pareto_complete_selected_C,Pareto_reversal_count_D_ci_low,Pareto_reversal_count_D_ci_high,Pareto_rate_D_ci_low,Pareto_rate_D_ci_high,Pareto_complete_selected_D_ci_low,Pareto_complete_selected_D_ci_high,Pareto_reversal_count_C_ci_low,Pareto_reversal_count_C_ci_high,Pareto_rate_C_ci_low,Pareto_rate_C_ci_high,Pareto_complete_selected_C_ci_low,Pareto_complete_selected_C_ci_high
PRE_IB,0.05,PASS,48,3,0,0.0,3,0,0.0,3,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
PRE_IB,0.1,PASS,48,5,0,0.0,5,0,0.0,5,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0
PRE_IB,0.2,PASS,48,10,0,0.0,10,0,0.0,10,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,8.0,12.0
PRE_IB,0.3,PASS,48,15,0,0.0,15,0,0.0,15,0.0,0.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,12.0,18.0
POST_IB_PRE_OB,0.05,PASS,120,6,0,0.0,6,0,0.0,6,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0
POST_IB_PRE_OB,0.1,PASS,120,12,0,0.0,12,0,0.0,12,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,12.0,13.0
POST_IB_PRE_OB,0.2,PASS,120,24,0,0.0,24,0,0.0,24,0.0,0.0,0.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,23.0,25.0
POST_IB_PRE_OB,0.3,PASS,120,36,0,0.0,36,0,0.0,36,0.0,0.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,0.0,35.0,38.0
POST_OB_PRE_TO,0.05,PASS,67,4,0,0.0,4,0,0.0,4,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0
POST_OB_PRE_TO,0.1,PASS,67,7,0,0.0,7,0,0.0,7,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,6.0,8.0
POST_OB_PRE_TO,0.2,PASS,67,14,0,0.0,14,0,0.0,14,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,12.0,16.0
POST_OB_PRE_TO,0.3,PASS,67,21,0,0.0,21,0,0.0,21,0.0,0.0,0.0,0.0,17.0,24.0,0.0,0.0,0.0,0.0,17.0,24.0
