stage,q,status,n,k,robust_count_m3,MissRate_D_m3,MissRate_C_m3,Delta_Miss_m3,robust_status_m3,robust_count_m4,MissRate_D_m4,MissRate_C_m4,Delta_Miss_m4,robust_status_m4,robust_count_m5,MissRate_D_m5,MissRate_C_m5,Delta_Miss_m5,robust_status_m5,robust_count_m3_ci_low,robust_count_m3_ci_high,MissRate_D_m3_ci_low,MissRate_D_m3_ci_high,MissRate_C_m3_ci_low,MissRate_C_m3_ci_high,Delta_Miss_m3_ci_low,Delta_Miss_m3_ci_high,robust_count_m4_ci_low,robust_count_m4_ci_high,MissRate_D_m4_ci_low,MissRate_D_m4_ci_high,MissRate_C_m4_ci_low,MissRate_C_m4_ci_high,Delta_Miss_m4_ci_low,Delta_Miss_m4_ci_high,robust_count_m5_ci_low,robust_count_m5_ci_high,MissRate_D_m5_ci_low,MissRate_D_m5_ci_high,MissRate_C_m5_ci_low,MissRate_C_m5_ci_high,Delta_Miss_m5_ci_low,Delta_Miss_m5_ci_high
PRE_IB,0.05,PASS,48,3,6,0.5,0.5,0.0,PASS,5,0.4,0.4,0.0,PASS,4,0.5,0.25,-0.25,PASS,4.0,8.0,0.4,0.8571428571428571,0.4,0.6666666666666666,-0.4,0.0,4.0,6.0,0.4,0.8333333333333334,0.25,0.6,-0.6,0.0,2.0,6.0,0.0,1.0,0.0,0.5,-1.0,0.0
PRE_IB,0.1,PASS,48,5,6,0.5,0.16666666666666666,-0.33333333333333337,PASS,5,0.4,0.2,-0.2,PASS,4,0.5,0.0,-0.5,PASS,4.0,8.0,0.0,0.8333333333333334,0.0,0.375,-0.8,0.0,4.0,6.0,0.0,0.8,0.0,0.4,-0.8,0.16666666666666669,2.0,6.0,0.0,1.0,0.0,0.0,-1.0,0.0
PRE_IB,0.2,PASS,48,10,6,0.3333333333333333,0.0,-0.3333333333333333,PASS,5,0.2,0.0,-0.2,PASS,4,0.25,0.0,-0.25,PASS,4.0,8.0,0.0,0.6,0.0,0.14285714285714285,-0.6,0.0,4.0,6.0,0.0,0.6,0.0,0.0,-0.6,0.0,2.0,6.0,0.0,0.6,0.0,0.0,-0.6,0.0
PRE_IB,0.3,PASS,48,15,6,0.16666666666666666,0.0,-0.16666666666666666,PASS,5,0.0,0.0,0.0,PASS,4,0.0,0.0,0.0,PASS,4.0,8.0,0.0,0.42857142857142855,0.0,0.0,-0.42857142857142855,0.0,4.0,6.0,0.0,0.4,0.0,0.0,-0.4,0.0,2.0,6.0,0.0,0.4,0.0,0.0,-0.4,0.0
POST_IB_PRE_OB,0.05,PASS,120,6,12,0.6666666666666666,0.5,-0.16666666666666663,PASS,11,0.6363636363636364,0.45454545454545453,-0.18181818181818182,PASS,11,0.6363636363636364,0.45454545454545453,-0.18181818181818182,PASS,12.0,17.0,0.5,0.8,0.46153846153846156,0.625,-0.3076923076923077,0.0,10.0,14.0,0.45454545454545453,0.8333333333333334,0.36363636363636365,0.5384615384615384,-0.4,0.0,7.0,13.0,0.36363636363636365,0.8181818181818182,0.125,0.5,-0.5714285714285714,0.0
POST_IB_PRE_OB,0.1,PASS,120,12,12,0.25,0.0,-0.25,PASS,11,0.18181818181818182,0.0,-0.18181818181818182,PASS,11,0.18181818181818182,0.0,-0.18181818181818182,PASS,12.0,17.0,0.07692307692307693,0.5294117647058824,0.0,0.2777777777777778,-0.4615384615384615,0.0,10.0,14.0,0.0,0.5,0.0,0.16666666666666666,-0.5,0.0,7.0,13.0,0.0,0.4624999999999948,0.0,0.1,-0.45454545454545453,0.0
POST_IB_PRE_OB,0.2,PASS,120,24,12,0.08333333333333333,0.0,-0.08333333333333333,PASS,11,0.0,0.0,0.0,PASS,11,0.0,0.0,0.0,PASS,12.0,17.0,0.0,0.3125,0.0,0.0,-0.3076923076923077,0.0,10.0,14.0,0.0,0.3,0.0,0.0,-0.3,0.0,7.0,13.0,0.0,0.1822727272727248,0.0,0.0,-0.18227272727272725,0.0
POST_IB_PRE_OB,0.3,PASS,120,36,12,0.08333333333333333,0.0,-0.08333333333333333,PASS,11,0.0,0.0,0.0,PASS,11,0.0,0.0,0.0,PASS,12.0,17.0,0.0,0.26666666666666666,0.0,0.0,-0.26666666666666666,0.0,10.0,14.0,0.0,0.2857142857142857,0.0,0.0,-0.2857142857142857,0.0,7.0,13.0,0.0,0.18181818181818182,0.0,0.0,-0.18181818181818182,0.0
POST_OB_PRE_TO,0.05,PASS,67,4,8,0.5,0.5,0.0,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,6.0,10.0,0.42857142857142855,0.625,0.42857142857142855,0.625,0.0,0.0,6.0,8.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5,-0.125,0.0,6.0,8.0,0.3333333333333333,0.5,0.3333333333333333,0.5,-0.125,0.0
POST_OB_PRE_TO,0.1,PASS,67,7,8,0.25,0.125,-0.125,PASS,7,0.14285714285714285,0.0,-0.14285714285714285,PASS,7,0.14285714285714285,0.0,-0.14285714285714285,PASS,6.0,10.0,0.0,0.4,0.0,0.25,-0.2857142857142857,0.0,6.0,8.0,0.0,0.42857142857142855,0.0,0.0,-0.42857142857142855,0.0,6.0,8.0,0.0,0.375,0.0,0.0,-0.375,0.0
POST_OB_PRE_TO,0.2,PASS,67,14,8,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_OB_PRE_TO,0.3,PASS,67,21,8,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
