original_episode_id,decision_node_id,technical_node_id,stage,m,view_count,robust_high_consequence
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:edfdf585c6afb6dc8894af29de5681887c288f1d2cf8a178c623dd55078b015f,sha256:edfdf585c6afb6dc8894af29de5681887c288f1d2cf8a178c623dd55078b015f,POST_IB_PRE_OB,3,0,False
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:1d3c7da17e5875f62cb5d8a0dfa06c0ccf049ac6bad37f7e430ae3c81b0358fe,sha256:1d3c7da17e5875f62cb5d8a0dfa06c0ccf049ac6bad37f7e430ae3c81b0358fe,POST_IB_PRE_OB,3,0,False
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:53a1308c333c44d8f8a523127b010c5071e6ba0b600d4f3eb5e869104000a325,sha256:53a1308c333c44d8f8a523127b010c5071e6ba0b600d4f3eb5e869104000a325,POST_IB_PRE_OB,3,2,False
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:0caa35f6636548b031c543a6d8678b41b4aea08deec7a3983c6cc68a1ece117a,sha256:0caa35f6636548b031c543a6d8678b41b4aea08deec7a3983c6cc68a1ece117a,POST_IB_PRE_OB,3,0,False
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,POST_IB_PRE_OB,3,7,True
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,sha256:e86aa95cd76b1e745cdbdda75649a98ed6f6e52d2a4a73161fd7aa9d7b818412,sha256:e86aa95cd76b1e745cdbdda75649a98ed6f6e52d2a4a73161fd7aa9d7b818412,POST_IB_PRE_OB,3,0,False
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,sha256:f6bf7783ee0b170dbb73ee5d418e04fec5fb282fd403bad976c9b1a35539fc83,sha256:f6bf7783ee0b170dbb73ee5d418e04fec5fb282fd403bad976c9b1a35539fc83,POST_IB_PRE_OB,3,0,False
sha256:131687a2a4d1ce3d87839668761d426361e0f6474d5e3c22895ba7ed1fd37e43,sha256:e342e7de4df5dd481ac0ebda139b264215edd0b12ee9229df80b2bdc31b61815,sha256:e342e7de4df5dd481ac0ebda139b264215edd0b12ee9229df80b2bdc31b61815,POST_IB_PRE_OB,3,0,False
sha256:17cb9f5c5180ae688b3d4a691216cbb6e153dd26fec2a70ec212f96d4a3e19f6,sha256:54c118da997363d7bea66b4dca367652732d27708a06413c8ef673815d6272a2,sha256:54c118da997363d7bea66b4dca367652732d27708a06413c8ef673815d6272a2,POST_IB_PRE_OB,3,0,False
sha256:181bc7c975fd4b2da221a0b667fef47f9b851c9cf9c2f60a9d2ed76de463c702,sha256:e428615e517b78bc97e766c56032e1531e4345ec50c396659dbc43989fa6afeb,sha256:e428615e517b78bc97e766c56032e1531e4345ec50c396659dbc43989fa6afeb,POST_IB_PRE_OB,3,0,False
