original_episode_id,decision_node_id,technical_node_id,stage,q,m,view_count,captured_by_delay,captured_by_consequence,missed_by_delay,missed_by_consequence
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,POST_IB_PRE_OB,0.1,4,7,True,True,False,False
sha256:2b04686f26ff3a5ef1f854cfa1f27a54eb3ad1fc242885b0aa9f8ed70f856335,sha256:10809eca963a9c4c722ab89c586e46c0a44162740e22dadcf03ed15806e37eb6,sha256:10809eca963a9c4c722ab89c586e46c0a44162740e22dadcf03ed15806e37eb6,POST_IB_PRE_OB,0.1,4,8,True,True,False,False
sha256:3c0efef12c89add8481f7b74abc06ace2acfc7c9ae2c8911f59a6f4d11affca8,sha256:d21ea2c3d6c4835187b0da3c1a974383dcf25bc948f1bbcce580a84d14b3537f,sha256:d21ea2c3d6c4835187b0da3c1a974383dcf25bc948f1bbcce580a84d14b3537f,POST_IB_PRE_OB,0.1,4,6,False,True,True,False
sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,sha256:b61b41dfbb5e9a4fd307732b727adaab5722ded5b97efe7f9aa3f903cf057e8f,sha256:b61b41dfbb5e9a4fd307732b727adaab5722ded5b97efe7f9aa3f903cf057e8f,POST_IB_PRE_OB,0.1,4,7,True,True,False,False
sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,sha256:3a2e051d5300bc13cdeb1205da3de6f9b24d42d7dd6550f716e0fce91548828b,sha256:3a2e051d5300bc13cdeb1205da3de6f9b24d42d7dd6550f716e0fce91548828b,POST_IB_PRE_OB,0.1,4,8,True,True,False,False
sha256:8b1cd58281a9dfd745efda44159737fd261f3e5a0394d8bf26bd0858569c4989,sha256:9c905603d962258ebd674ea474cd50ccde1889ee9fecd1af27b961746a52ab03,sha256:9c905603d962258ebd674ea474cd50ccde1889ee9fecd1af27b961746a52ab03,POST_IB_PRE_OB,0.1,4,7,False,True,True,False
sha256:b9a4fa94dafc0e3ad02143e811d8a97e414acf62bbd5363768564cff85896f70,sha256:41d8cbdd63863224badc09ea387183b762570e4377fe93838f095dda3d7b2c41,sha256:41d8cbdd63863224badc09ea387183b762570e4377fe93838f095dda3d7b2c41,POST_IB_PRE_OB,0.1,4,6,True,True,False,False
sha256:baac9bacdfb1e7985e9641fc25996dc5d24e9b89b2b3a6b50fe0aae193d75dc4,sha256:d8b1aa0a19b345d100b48a09dda67fd5e213f801bf849f37cfc19b3ebf52c069,sha256:d8b1aa0a19b345d100b48a09dda67fd5e213f801bf849f37cfc19b3ebf52c069,POST_IB_PRE_OB,0.1,4,7,True,True,False,False
sha256:c47612951f046a604739c6a61b0c750156217227310a6fa1b301fc1b55f37a73,sha256:2499816614111cc383b6c624095d7defc8d995e92089a1aaa28e4ae01985699f,sha256:2499816614111cc383b6c624095d7defc8d995e92089a1aaa28e4ae01985699f,POST_IB_PRE_OB,0.1,4,5,True,True,False,False
sha256:c667775745918d82640a962c0a0af11d2a072a97d7ad14915a963dd62cfba789,sha256:14c8a0e539a0f474de7629fc92576c735804e76360b6b724a2b7dd0b3a4415fb,sha256:14c8a0e539a0f474de7629fc92576c735804e76360b6b724a2b7dd0b3a4415fb,POST_IB_PRE_OB,0.1,4,7,True,True,False,False
