stage,q,status,n,k,delay_boundary_tie_count,consequence_boundary_tie_count,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,delay_boundary_tie_count_ci_low,delay_boundary_tie_count_ci_high,consequence_boundary_tie_count_ci_low,consequence_boundary_tie_count_ci_high,delay_boundary_tie_fraction_ci_low,delay_boundary_tie_fraction_ci_high,consequence_boundary_tie_fraction_ci_low,consequence_boundary_tie_fraction_ci_high
PRE_IB,0.05,PASS,48,3,1,1,0.020833333333333332,0.020833333333333332,1.0,4.0,1.0,4.0,0.017857142857142856,0.08825163398692802,0.017857142857142856,0.08695652173913043
PRE_IB,0.1,PASS,48,5,1,1,0.020833333333333332,0.020833333333333332,1.0,4.0,1.0,4.0,0.017857142857142856,0.09090909090909091,0.01818181818181818,0.09090909090909091
PRE_IB,0.2,PASS,48,10,1,1,0.020833333333333332,0.020833333333333332,1.0,4.0,1.0,4.0,0.017857142857142856,0.08888888888888889,0.017857142857142856,0.09302325581395349
PRE_IB,0.3,PASS,48,15,1,1,0.020833333333333332,0.020833333333333332,1.0,4.0,1.0,4.0,0.017857142857142856,0.09615384615384616,0.01818181818181818,0.08888888888888889
POST_IB_PRE_OB,0.05,PASS,120,6,1,1,0.008333333333333333,0.008333333333333333,1.0,4.0,1.0,4.0,0.008130081300813009,0.03389830508474576,0.008064516129032258,0.03389830508474576
POST_IB_PRE_OB,0.1,PASS,120,12,1,1,0.008333333333333333,0.008333333333333333,1.0,4.0,1.0,4.0,0.008064516129032258,0.03418803418803419,0.008064516129032258,0.034482758620689655
POST_IB_PRE_OB,0.2,PASS,120,24,1,1,0.008333333333333333,0.008333333333333333,1.0,4.0,1.0,4.0,0.008064516129032258,0.03389830508474576,0.00812844217151849,0.03419540229885054
POST_IB_PRE_OB,0.3,PASS,120,36,1,1,0.008333333333333333,0.008333333333333333,1.0,4.0,1.0,4.0,0.008064516129032258,0.03389830508474576,0.008064516129032258,0.03389830508474576
POST_OB_PRE_TO,0.05,PASS,67,4,1,1,0.014925373134328358,0.014925373134328358,1.0,4.0,1.0,4.0,0.01350900900900901,0.06451612903225806,0.013333333333333334,0.06451612903225806
POST_OB_PRE_TO,0.1,PASS,67,7,1,1,0.014925373134328358,0.014925373134328358,1.0,4.0,1.0,4.0,0.013333333333333334,0.06251977848101255,0.013333333333333334,0.06349206349206349
POST_OB_PRE_TO,0.2,PASS,67,14,1,1,0.014925373134328358,0.014925373134328358,1.0,4.0,1.0,4.0,0.013333333333333334,0.06557377049180328,0.013333333333333334,0.06411290322580639
POST_OB_PRE_TO,0.3,PASS,67,21,1,1,0.014925373134328358,0.014925373134328358,1.0,4.0,1.0,4.0,0.013333333333333334,0.06411290322580639,0.013333333333333334,0.06349206349206349
