stage,q,status,n,k,Capture_D_F,Capture_C_F,Delta_Capture_F_pp,Capture_D_P,Capture_C_P,Delta_Capture_P_pp,Capture_D_R,Capture_C_R,Delta_Capture_R_pp,Capture_D_F_ci_low,Capture_D_F_ci_high,Capture_C_F_ci_low,Capture_C_F_ci_high,Delta_Capture_F_pp_ci_low,Delta_Capture_F_pp_ci_high,Capture_D_P_ci_low,Capture_D_P_ci_high,Capture_C_P_ci_low,Capture_C_P_ci_high,Delta_Capture_P_pp_ci_low,Delta_Capture_P_pp_ci_high,Capture_D_R_ci_low,Capture_D_R_ci_high,Capture_C_R_ci_low,Capture_C_R_ci_high,Delta_Capture_R_pp_ci_low,Delta_Capture_R_pp_ci_high
PRE_IB,0.05,PASS,4,1,0.301751732041481,0.301751732041481,0.0,0.29394307033658984,0.29394307033658984,0.0,0.5005562744161152,0.5005562744161152,0.0,0.19292784336973545,0.5154783184221717,0.19292784336973545,0.5154783184221717,0.0,0.0,0.17321960208906662,0.5553172505418468,0.17321960208906662,0.5553172505418468,0.0,0.0,0.21210472556467846,0.603598842807536,0.21210472556467846,0.603598842807536,0.0,0.0
PRE_IB,0.1,PASS,4,1,0.301751732041481,0.301751732041481,0.0,0.29394307033658984,0.29394307033658984,0.0,0.5005562744161152,0.5005562744161152,0.0,0.19292784336973545,0.5154783184221717,0.19292784336973545,0.5154783184221717,0.0,0.0,0.17321960208906662,0.5553172505418468,0.17321960208906662,0.5553172505418468,0.0,0.0,0.21210472556467846,0.603598842807536,0.21210472556467846,0.603598842807536,0.0,0.0
PRE_IB,0.2,PASS,4,1,0.301751732041481,0.301751732041481,0.0,0.29394307033658984,0.29394307033658984,0.0,0.5005562744161152,0.5005562744161152,0.0,0.21205275505172927,0.5154783184221717,0.21205275505172927,0.5154783184221717,0.0,0.0,0.2189786065214179,0.5553172505418468,0.2189786065214179,0.5553172505418468,0.0,0.0,0.26350541612238226,0.6424665883382603,0.26350541612238226,0.6424665883382603,0.0,0.0
PRE_IB,0.3,PASS,4,2,0.5698993368295081,0.5698993368295081,0.0,0.48556241570779796,0.48556241570779796,0.0,0.7341947764164651,0.7341947764164651,0.0,0.34720446519839643,0.5585145637436912,0.34720446519839643,0.5585145637436912,0.0,0.0,0.28127959386111606,0.5663146185284845,0.28127959386111606,0.5663146185284845,0.0,0.0,0.34468750364990436,0.7092957906769414,0.34468750364990436,0.7092957906769414,0.0,0.0
POST_IB_PRE_OB,0.05,PASS,7,1,0.271514376852176,0.271514376852176,0.0,0.50701408553553,0.50701408553553,0.0,0.46037902104483275,0.46037902104483275,0.0,0.14445793903456972,0.31741221932394426,0.14445793903456972,0.31741221932394426,0.0,0.0,0.15025196723860218,0.5768662170559934,0.15025196723860218,0.5768662170559934,0.0,0.0,0.1018157359735193,0.585333674456625,0.1018157359735193,0.585333674456625,0.0,0.0
POST_IB_PRE_OB,0.1,PASS,7,1,0.271514376852176,0.271514376852176,0.0,0.50701408553553,0.50701408553553,0.0,0.46037902104483275,0.46037902104483275,0.0,0.14445793903456972,0.31741221932394426,0.14445793903456972,0.31741221932394426,0.0,0.0,0.15025196723860218,0.5768662170559934,0.15025196723860218,0.5768662170559934,0.0,0.0,0.1018157359735193,0.585333674456625,0.1018157359735193,0.585333674456625,0.0,0.0
POST_IB_PRE_OB,0.2,PASS,7,2,0.428818879414975,0.428818879414975,0.0,0.6158721568515704,0.6158721568515704,0.0,0.8362144860186582,0.8362144860186582,0.0,0.25891162151604635,0.5065964553299525,0.25891162151604635,0.5065964553299525,0.0,0.0,0.29257229463897044,0.7505420636656992,0.29257229463897044,0.7505420636656992,0.0,0.0,0.1025315151225958,0.9248452669869663,0.1025315151225958,0.9248452669869663,0.0,0.0
POST_IB_PRE_OB,0.3,PASS,7,3,0.562507114700032,0.562507114700032,0.0,0.724800205743776,0.724800205743776,0.0,0.9004624994681002,0.9004624994681002,0.0,0.39118043097389565,0.6062950356550967,0.39118043097389565,0.6062950356550967,0.0,0.0,0.45080293674618616,0.7851035720057237,0.45080293674618616,0.7851035720057237,0.0,0.0,0.32020645329387054,0.9742917981941,0.32020645329387054,0.9742917981941,0.0,0.0
POST_OB_PRE_TO,0.05,PASS,6,1,0.449666209023879,0.449666209023879,0.0,0.6982258073359684,0.6982258073359684,0.0,0.44966620902387894,0.44966620902387894,0.0,0.20177068557155656,0.8911393231220323,0.20177068557155656,0.8911393231220323,0.0,0.0,0.2432617932299731,0.8558671892898169,0.2432617932299731,0.8558671892898169,0.0,0.0,0.20177068557155659,0.8911393231220323,0.20177068557155659,0.8911393231220323,0.0,0.0
POST_OB_PRE_TO,0.1,PASS,6,1,0.449666209023879,0.449666209023879,0.0,0.6982258073359684,0.6982258073359684,0.0,0.44966620902387894,0.44966620902387894,0.0,0.20177068557155656,0.8911393231220323,0.20177068557155656,0.8911393231220323,0.0,0.0,0.2432617932299731,0.8558671892898169,0.2432617932299731,0.8558671892898169,0.0,0.0,0.20177068557155659,0.8911393231220323,0.20177068557155659,0.8911393231220323,0.0,0.0
