stage,q,status,n,k,Pareto_reversal_count_D,Pareto_rate_D,Pareto_complete_selected_D,Pareto_reversal_count_C,Pareto_rate_C,Pareto_complete_selected_C,Pareto_reversal_count_D_ci_low,Pareto_reversal_count_D_ci_high,Pareto_rate_D_ci_low,Pareto_rate_D_ci_high,Pareto_complete_selected_D_ci_low,Pareto_complete_selected_D_ci_high,Pareto_reversal_count_C_ci_low,Pareto_reversal_count_C_ci_high,Pareto_rate_C_ci_low,Pareto_rate_C_ci_high,Pareto_complete_selected_C_ci_low,Pareto_complete_selected_C_ci_high
PRE_IB,0.05,PASS,4,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PRE_IB,0.1,PASS,4,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PRE_IB,0.2,PASS,4,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
PRE_IB,0.3,PASS,4,2,0,0.0,2,0,0.0,2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
POST_IB_PRE_OB,0.05,PASS,7,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
POST_IB_PRE_OB,0.1,PASS,7,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
POST_IB_PRE_OB,0.2,PASS,7,2,0,0.0,2,0,0.0,2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
POST_IB_PRE_OB,0.3,PASS,7,3,0,0.0,3,0,0.0,3,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
POST_OB_PRE_TO,0.05,PASS,6,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
POST_OB_PRE_TO,0.1,PASS,6,1,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
POST_OB_PRE_TO,0.2,PASS,6,2,0,0.0,2,0,0.0,2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
POST_OB_PRE_TO,0.3,PASS,6,2,0,0.0,2,0,0.0,2,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
