stage,q,status,n,k,robust_count_m3,MissRate_D_m3,MissRate_C_m3,Delta_Miss_m3,robust_status_m3,robust_count_m4,MissRate_D_m4,MissRate_C_m4,Delta_Miss_m4,robust_status_m4,robust_count_m5,MissRate_D_m5,MissRate_C_m5,Delta_Miss_m5,robust_status_m5,robust_count_m3_ci_low,robust_count_m3_ci_high,MissRate_D_m3_ci_low,MissRate_D_m3_ci_high,MissRate_C_m3_ci_low,MissRate_C_m3_ci_high,Delta_Miss_m3_ci_low,Delta_Miss_m3_ci_high,robust_count_m4_ci_low,robust_count_m4_ci_high,MissRate_D_m4_ci_low,MissRate_D_m4_ci_high,MissRate_C_m4_ci_low,MissRate_C_m4_ci_high,Delta_Miss_m4_ci_low,Delta_Miss_m4_ci_high,robust_count_m5_ci_low,robust_count_m5_ci_high,MissRate_D_m5_ci_low,MissRate_D_m5_ci_high,MissRate_C_m5_ci_low,MissRate_C_m5_ci_high,Delta_Miss_m5_ci_low,Delta_Miss_m5_ci_high
PRE_IB,0.05,PASS,4,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRE_IB,0.1,PASS,4,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRE_IB,0.2,PASS,4,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRE_IB,0.3,PASS,4,2,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_IB_PRE_OB,0.05,PASS,7,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_IB_PRE_OB,0.1,PASS,7,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_IB_PRE_OB,0.2,PASS,7,2,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_IB_PRE_OB,0.3,PASS,7,3,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_OB_PRE_TO,0.05,PASS,6,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_OB_PRE_TO,0.1,PASS,6,1,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_OB_PRE_TO,0.2,PASS,6,2,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POST_OB_PRE_TO,0.3,PASS,6,2,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1,0.0,0.0,0.0,PASS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
