original_episode_id,decision_node_id,technical_node_id,stage,m,view_count,robust_high_consequence
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:edfdf585c6afb6dc8894af29de5681887c288f1d2cf8a178c623dd55078b015f,sha256:edfdf585c6afb6dc8894af29de5681887c288f1d2cf8a178c623dd55078b015f,POST_IB_PRE_OB,4,0,False
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:1d3c7da17e5875f62cb5d8a0dfa06c0ccf049ac6bad37f7e430ae3c81b0358fe,sha256:1d3c7da17e5875f62cb5d8a0dfa06c0ccf049ac6bad37f7e430ae3c81b0358fe,POST_IB_PRE_OB,4,0,False
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:53a1308c333c44d8f8a523127b010c5071e6ba0b600d4f3eb5e869104000a325,sha256:53a1308c333c44d8f8a523127b010c5071e6ba0b600d4f3eb5e869104000a325,POST_IB_PRE_OB,4,0,False
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:0caa35f6636548b031c543a6d8678b41b4aea08deec7a3983c6cc68a1ece117a,sha256:0caa35f6636548b031c543a6d8678b41b4aea08deec7a3983c6cc68a1ece117a,POST_IB_PRE_OB,4,0,False
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,POST_IB_PRE_OB,4,8,True
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,sha256:e86aa95cd76b1e745cdbdda75649a98ed6f6e52d2a4a73161fd7aa9d7b818412,sha256:e86aa95cd76b1e745cdbdda75649a98ed6f6e52d2a4a73161fd7aa9d7b818412,POST_IB_PRE_OB,4,0,False
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,sha256:f6bf7783ee0b170dbb73ee5d418e04fec5fb282fd403bad976c9b1a35539fc83,sha256:f6bf7783ee0b170dbb73ee5d418e04fec5fb282fd403bad976c9b1a35539fc83,POST_IB_PRE_OB,4,0,False
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:cb5f6cf3c0f422d7f078044a7a0314c325f9cd6d8fb1fae4e76fac09488f39d4,sha256:cb5f6cf3c0f422d7f078044a7a0314c325f9cd6d8fb1fae4e76fac09488f39d4,POST_OB_PRE_TO,4,0,False
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:16549b4446bed8af4961d51d468de67aa1eb4530b9bb814cec18424c9c0e7b13,sha256:16549b4446bed8af4961d51d468de67aa1eb4530b9bb814cec18424c9c0e7b13,POST_OB_PRE_TO,4,0,False
sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:b749fe74b3c8555690ca81375653abab13cb95933388903a0de21d4fa3a11472,sha256:b749fe74b3c8555690ca81375653abab13cb95933388903a0de21d4fa3a11472,POST_OB_PRE_TO,4,0,False
sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:3c2e16c8014d86883b1a1cc494797148ebdfa45a4b3e29bac08c16be990b18e2,sha256:3c2e16c8014d86883b1a1cc494797148ebdfa45a4b3e29bac08c16be990b18e2,POST_OB_PRE_TO,4,8,True
sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,sha256:d5ab0f2ee93444bf969a3eb5ca7911b43d79fb93f9f2b632ab824a9e67d66d7f,sha256:d5ab0f2ee93444bf969a3eb5ca7911b43d79fb93f9f2b632ab824a9e67d66d7f,POST_OB_PRE_TO,4,0,False
sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,sha256:e2825bd890af19aaf18b49fc6e931c81cb18e9f0f3d827346e2651d9ef345023,sha256:e2825bd890af19aaf18b49fc6e931c81cb18e9f0f3d827346e2651d9ef345023,POST_OB_PRE_TO,4,0,False
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:8e0c2d381ffe02968cef5fef7c1855a081829cb787a00bafcecc5c69be195552,sha256:8e0c2d381ffe02968cef5fef7c1855a081829cb787a00bafcecc5c69be195552,PRE_IB,4,0,False
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:47182a6b63fe793cc42e3024d0a5762fdf80e1de50b5d6caa1eb6cfc73beebaf,sha256:47182a6b63fe793cc42e3024d0a5762fdf80e1de50b5d6caa1eb6cfc73beebaf,PRE_IB,4,0,False
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:df30aa665df52d2c6d561a63b364df460221aaffc1945a83b0abc34915f8d3dd,sha256:df30aa665df52d2c6d561a63b364df460221aaffc1945a83b0abc34915f8d3dd,PRE_IB,4,8,True
sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:ada0ac6afb7776eca9a9a58aae4d07131bed77842d629841d7c2453f76f04020,sha256:ada0ac6afb7776eca9a9a58aae4d07131bed77842d629841d7c2453f76f04020,PRE_IB,4,0,False
