stage,q,domain,A_reference,A_comparator,value_retained
PRE,0.05,F,0.0,0.0,
PRE,0.05,F,0.0,0.0,
PRE,0.05,F,0.0,0.0,
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,0.6975518192753524,0.6975518192753524,1.0
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,0.6975518192753524,0.6053225442856381
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.1523638527267428,1.336956746804382,1.1601862932795508
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,F,1.8152599567930925,1.9998528508707314,1.1016895092005157
PRE,0.05,P,0.0,0.0,
PRE,0.05,P,0.0,0.0,
PRE,0.05,P,0.0,0.0,
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,2.0354340981549894,2.0354340981549894,1.0
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,2.0354340981549894,0.4744067141880333
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,4.290483328505835,3.223520372418374,0.7513187036531309
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,P,6.130694046177252,5.063731090089791,0.8259637574390525
PRE,0.05,R,0.0,0.0,
PRE,0.05,R,0.0,0.0,
PRE,0.05,R,0.0,0.0,
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.2904508229345084,0.2904508229345084,1.0
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.2904508229345084,0.5402844346342299
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.5375887297792361,0.30413534305989753,0.5657398048221592
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,R,0.9253539152909069,0.6919005285715685,0.7477144875472356
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.0,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_continuity,0.0,0.023970170454545452,
PRE,0.05,F_execution,0.0,0.0,
PRE,0.05,F_execution,0.0,0.0,
PRE,0.05,F_execution,0.0,0.0,
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,0.7212703875402974,0.7212703875402974,1.0
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,0.7212703875402974,0.6108056835030737
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.1808508123298558,1.4203082957143156,1.2027838579473071
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_execution,1.8455936713828978,2.0850511547673576,1.1297455052525376
PRE,0.05,F_propagation,0.0,0.0,
PRE,0.05,F_propagation,0.0,0.0,
PRE,0.05,F_propagation,0.0,0.0,
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,1.37138507028576,1.37138507028576,1.0
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,1.37138507028576,0.602478043144522
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,2.276240745850373,2.5665917742442854,1.1275572581341526
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,F_propagation,3.60018619899638,3.8905372273902925,1.0806488921253166
PRE,0.05,P_time,0.0,0.0,
PRE,0.05,P_time,0.0,0.0,
PRE,0.05,P_time,0.0,0.0,
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,1.782930277502933,1.782930277502933,1.0
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
PRE,0.05,P_time,3.0824404174576303,1.782930277502933,0.5784151633248691
