stage,q,N,K,A_C,A_D,value_retained,L_att,overlap_count,entered_count,displaced_count,reassigned_count,reassigned_share,kendall_tau,spearman_rho,mean_rank_displacement,F_value_retained,P_value_retained,R_value_retained
PRE,0.05,48,3,2.957102639420417,2.5851614898440305,0.8742210890423182,0.12577891095768182,2,1.0,1.0,1,0.3333333333333333,0.6897163120567377,0.8599652627008251,2.0,1.1016895092005157,0.8259637574390525,0.7477144875472355
TURN,0.05,120,6,6.517997818628718,4.989920218518149,0.7655602774607783,0.2344397225392217,2,4.0,4.0,4,0.6666666666666666,0.7394957983193277,0.9111327175498298,7.4,1.2667493722991297,0.6821267636995129,0.4862679640299375
TAXI,0.05,67,4,1.194126249916864,1.194126249916864,1.0,0.0,4,0.0,0.0,0,0.0,0.9860069965017492,0.9991353754940714,0.0,1.0,1.0,1.0
OVERALL,0.05,235,13,10.669226707965997,8.769207958279043,0.821915983070419,0.17808401692958092,8,,,5,0.38461538461538464,,,,,,
PRE,0.1,48,5,4.204744030109479,3.362479720928722,0.7996871383491025,0.20031286165089746,2,3.0,3.0,3,0.6,0.6897163120567377,0.8599652627008251,5.875,1.191466238859151,0.7330679095049125,0.529410347878647
TURN,0.1,120,12,11.318035320285684,10.513546725888938,0.9289197664054967,0.07108023359450337,8,4.0,4.0,4,0.3333333333333333,0.7394957983193277,0.9111327175498298,9.3125,1.1305751862905622,0.8766937303873165,0.8562712402212219
TAXI,0.1,67,7,1.9009583126542862,1.878222313796422,0.9880397172802184,0.011960282719781548,6,1.0,1.0,1,0.14285714285714285,0.9860069965017492,0.9991353754940714,1.0,1.0057780701820034,0.8886507256836985,1.0057780701820036
OVERALL,0.1,235,24,17.42373766304945,15.754248760614082,0.9041830785838875,0.09581692141611248,16,,,8,0.3333333333333333,,,,,,
PRE,0.2,48,10,6.9872825540926415,5.937560621903289,0.8497667835724632,0.15023321642753684,5,5.0,5.0,5,0.5,0.6897163120567377,0.8599652627008251,7.066666666666666,1.131451442786112,0.7538500456283709,0.8938402432785422
TURN,0.2,120,24,18.695758582425356,17.182985744314376,0.9190847040818639,0.08091529591813607,18,6.0,6.0,6,0.25,0.7394957983193277,0.9111327175498298,11.933333333333334,1.0572730441974119,0.8430814651252627,1.226015202129542
TAXI,0.2,67,14,3.3323307307881587,3.325672535923219,0.998001940562675,0.001998059437325053,13,1.0,1.0,1,0.07142857142857142,0.9860069965017492,0.9991353754940714,0.9333333333333333,1.0014906095109872,0.9747609223093939,1.0014906095109875
OVERALL,0.2,235,48,29.015371867306154,26.446218902140885,0.911455452753989,0.08854454724601105,36,,,12,0.25,,,,,,
PRE,0.3,48,15,9.156934583249473,8.510778040684968,0.9294352780736796,0.07056472192632031,11,4.0,4.0,4,0.26666666666666666,0.6897163120567377,0.8599652627008251,7.947368421052632,1.1037310214964098,0.8579010605874404,1.0252315943374946
TURN,0.3,120,36,24.05808300481864,22.654855315417976,0.9416733374342582,0.05832666256574185,27,9.0,9.0,9,0.25,0.7394957983193277,0.9111327175498298,13.666666666666666,1.0500869267059694,0.8921012031114457,1.0424619229674121
TAXI,0.3,67,21,4.25223732244456,4.23717264895707,0.9964572359571808,0.0035427640428192073,20,1.0,1.0,1,0.047619047619047616,0.9860069965017492,0.9991353754940714,0.9090909090909091,1.000008431882631,0.9714583004177568,1.000008431882631
OVERALL,0.3,235,72,37.46725491051267,35.402806005060015,0.944899915662799,0.055100084337201025,58,,,14,0.19444444444444445,,,,,,
