stage,q,estimate,ci_low,ci_high,replicate_count
OVERALL,0.05,0.200527557264354,0.047737643890316366,0.32199491391262297,2000
OVERALL,0.1,0.10608621474321107,0.02992377486575093,0.19869467018282108,2000
OVERALL,0.2,0.09977380625134731,0.040680034995059976,0.1528296611559364,2000
OVERALL,0.3,0.0617005312892375,0.031278606463091475,0.10212145574401793,2000
PRE,0.05,0.12577891095768182,0.0,0.41106304943166627,2000
PRE,0.1,0.20031286165089746,0.0,0.35017542994588763,2000
PRE,0.2,0.15023321642753684,0.03479875483937135,0.24464291625854084,2000
PRE,0.3,0.07056472192632031,0.01844812431884875,0.16321413558962133,2000
TURN,0.05,0.2344397225392217,0.047269175962975286,0.35075454371626924,2000
TURN,0.1,0.07108023359450337,0.014995211202162179,0.19678912864121748,2000
TURN,0.2,0.08091529591813607,0.029763225312702916,0.13605747036824814,2000
TURN,0.3,0.05832666256574185,0.024140914964816393,0.0948553424559043,2000
