axis,level,stage,N,median_V,positive_V_share,activation_share,median_positive_u,delta_J,L_rec,A5
lambda,0.1,PRE,5,0.02248315681391777,1.0,1.0,5.0,-0.019439795989080078,-0.18509182092741572,0.8
lambda,0.1,TURN,12,0.016476291970488388,0.9166666666666666,0.9166666666666666,5.0,-0.12304753795365586,-0.6439345033628135,0.5833333333333334
lambda,0.25,PRE,5,0.005816490147251052,0.8,0.8,5.0,0.0,0.0,1.0
lambda,0.25,TURN,12,0.0,0.4166666666666667,0.4166666666666667,5.0,0.0,0.0,1.0
lambda,0.5,PRE,5,0.0,0.0,0.0,,-0.08941659452824846,-0.8513608019167844,0.8
lambda,0.5,TURN,12,0.0,0.08333333333333333,0.08333333333333333,5.0,-0.0814533631859321,-0.4262631487199595,0.9166666666666666
lambda,1,PRE,5,0.0,0.0,0.0,,-0.4783054834171374,-4.55408240575035,0.8
lambda,1,TURN,12,0.0,0.0,0.0,,-0.4755796270515106,-2.488811528030966,0.9166666666666666
turnaround_lower_bound,Q10,PRE,5,0.007719839882968982,0.8,0.8,5.0,0.0,0.0,1.0
turnaround_lower_bound,Q10,TURN,12,0.009780179993725158,0.75,0.75,5.0,-0.03334488294845206,-0.17450101804710408,1.0
turnaround_lower_bound,Q20,PRE,5,0.005816490147251052,0.8,0.8,5.0,0.0,0.0,1.0
turnaround_lower_bound,Q20,TURN,12,0.0,0.4166666666666667,0.4166666666666667,5.0,0.0,0.0,1.0
turnaround_lower_bound,Q30,PRE,5,0.003489128688247356,0.6,0.6,5.0,-0.05001733001297615,-0.47622921018459363,0.8
turnaround_lower_bound,Q30,TURN,12,0.0,0.4166666666666667,0.4166666666666667,5.0,0.0,0.0,1.0
u_max,Q80,PRE,5,0.0,0.0,0.0,,-0.05052770563935971,-0.48108864153342923,0.8
u_max,Q80,TURN,12,0.0,0.08333333333333333,0.08333333333333333,5.0,-0.04256447429704313,-0.22274914291815273,0.9166666666666666
u_max,Q90,PRE,5,0.005816490147251052,0.8,0.8,5.0,0.0,0.0,1.0
u_max,Q90,TURN,12,0.0,0.4166666666666667,0.4166666666666667,5.0,0.0,0.0,1.0
u_max,Q95,PRE,5,0.03008477989279701,1.0,1.0,5.0,-0.14820124000712032,-1.4110661136581681,0.6
u_max,Q95,TURN,12,0.02706585159587127,0.9166666666666666,0.9166666666666666,5.0,-0.5099804303764186,-2.668838406851164,0.5833333333333334
