stage,q,n,k,overlap,slots_reassigned,reassigned_rate
POST_IB_PRE_OB,0.05,121,7,4,3,0.42857142857142855
POST_OB_PRE_TO,0.05,67,4,4,0,0.0
PRE_IB,0.05,48,3,2,1,0.3333333333333333
POST_IB_PRE_OB,0.1,121,13,10,3,0.23076923076923078
POST_OB_PRE_TO,0.1,67,7,6,1,0.14285714285714285
PRE_IB,0.1,48,5,2,3,0.6
POST_IB_PRE_OB,0.2,121,25,17,8,0.32
POST_OB_PRE_TO,0.2,67,14,13,1,0.07142857142857142
PRE_IB,0.2,48,10,6,4,0.4
POST_IB_PRE_OB,0.3,121,37,27,10,0.2702702702702703
POST_OB_PRE_TO,0.3,67,21,20,1,0.047619047619047616
PRE_IB,0.3,48,15,10,5,0.3333333333333333
