experiment,variant,metric_id,level,value,unit,support,estimate,ci_lower,ci_upper,n_episodes,reason
EXP2,EXP2A_JOINT,CALIBRATION,STATE,0.04749850029994,absolute_gap,SUPPORTED,,,,127,
EXP2,EXP2A_JOINT,CRPS,STATE,,minutes,ASSUMPTION_GROUNDED,,,,127,ASSUMPTION_GROUNDED_NOT_EMPIRICAL_TAIL_CALIBRATION
EXP2,EXP2A_JOINT,BRIER,STATE,0.1288012296045014,score,SUPPORTED,,,,127,
EXP2,EXP2A_JOINT,VARIOGRAM_SCORE,STATE,6.543466265183308,score,SUPPORTED,,,,124,OBSERVED_OR_PREDICTIVE_TAIL_TERM_ABSTAINED
EXP2,EXP2A_MARGINAL,CALIBRATION,STATE,0.059054589082183556,absolute_gap,SUPPORTED,,,,127,
EXP2,EXP2A_MARGINAL,CRPS,STATE,,minutes,ASSUMPTION_GROUNDED,,,,127,ASSUMPTION_GROUNDED_NOT_EMPIRICAL_TAIL_CALIBRATION
EXP2,EXP2A_MARGINAL,BRIER,STATE,0.12837536319172535,score,SUPPORTED,,,,127,
EXP2,EXP2A_MARGINAL,VARIOGRAM_SCORE,STATE,6.543466265183308,score,SUPPORTED,,,,124,OBSERVED_OR_PREDICTIVE_TAIL_TERM_ABSTAINED
EXP2,EXP2A_POINT,CALIBRATION,STATE,0.8644271145770845,absolute_gap,SUPPORTED,,,,127,
EXP2,EXP2A_POINT,CRPS,STATE,,minutes,ASSUMPTION_GROUNDED,,,,127,ASSUMPTION_GROUNDED_NOT_EMPIRICAL_TAIL_CALIBRATION
EXP2,EXP2A_POINT,BRIER,STATE,0.8503937007874016,score,SUPPORTED,,,,127,
EXP2,EXP2A_POINT,VARIOGRAM_SCORE,STATE,6.543466265183308,score,SUPPORTED,,,,124,OBSERVED_OR_PREDICTIVE_TAIL_TERM_ABSTAINED
EXP2,EXP2B_3CHANNEL,TOP1_ACTION_DISAGREEMENT,DECISION,,rate,NOT_RUN,,,,,PASSENGER_CHANNEL_INCOMPLETE
EXP2,EXP2B_7COMP,TOP1_ACTION_DISAGREEMENT,DECISION,,rate,NOT_RUN,,,,,TYPED_VECTOR_READY_WITH_P_ITINERARY_AND_P_SERVICE_ABSTAIN
EXP2,EXP2B_SCALAR,TOP1_ACTION_DISAGREEMENT,DECISION,,rate,NOT_RUN,,,,,SEVEN_COMPONENT_AGGREGATE_UNRESOLVED
EXP2,M4_RANKING,TOP1_ACTION_DISAGREEMENT,DECISION,,rate,ASSUMPTION_GROUNDED,,,,,FIVE_ANCHOR_SUBSET_RANKING_CONTRACT_READY_VALUE_MATERIALIZED_AT_FULL_CHAIN_EXECUTION
