metric,value,unit,support_status
E2E_P50_SECONDS,0.858266,seconds,OPERATIONAL_ADEQUACY
E2E_P95_SECONDS,0.942541,seconds,OPERATIONAL_ADEQUACY
E2E_P99_SECONDS,1.059598,seconds,OPERATIONAL_ADEQUACY
WITHIN_60S,1.0,rate,OPERATIONAL_ADEQUACY
WITHIN_120S,1.0,rate,OPERATIONAL_ADEQUACY
WITHIN_300S,1.0,rate,OPERATIONAL_ADEQUACY
pre_state_load_p95_seconds,0.0004658999996536295,seconds,OPERATIONAL_ADEQUACY
m1_scenario_read_p95_seconds,0.006506499999886728,seconds,OPERATIONAL_ADEQUACY
m2_consequence_read_p95_seconds,0.007975799999258015,seconds,OPERATIONAL_ADEQUACY
m3_action_risk_p95_seconds,0.9342444999992949,seconds,OPERATIONAL_ADEQUACY
ranking_output_serialization_p95_seconds,7.600000571983401e-06,seconds,OPERATIONAL_ADEQUACY
