Subexperiment,Condition,Metric,Estimate,95% CI,N episodes
EXP4A,HISTORICAL,MAE_MINUTES,8.680947166712292,—,128
EXP4A,HISTORICAL,CRPS,33.21557157819721,—,128
EXP4A,HISTORICAL,LEAD_TIME_CONTRACT,True,—,128
EXP4A,LIGHTGBM,MAE_MINUTES,10.856319630351152,—,128
EXP4A,LIGHTGBM,CRPS,34.395826630841206,—,128
EXP4A,LIGHTGBM,LEAD_TIME_CONTRACT,True,—,128
EXP4A,RANDOM_FOREST,MAE_MINUTES,9.907568578899308,—,128
EXP4A,RANDOM_FOREST,CRPS,36.43248213396931,—,128
EXP4A,RANDOM_FOREST,LEAD_TIME_CONTRACT,True,—,128
EXP4A,STATE_AWARE_H32,MAE_MINUTES,7.127691128513227,—,128
EXP4A,STATE_AWARE_H32,CRPS,21.12051926989929,—,128
EXP4A,STATE_AWARE_H32,LEAD_TIME_CONTRACT,True,—,128
