anchor_date,evaluation_id,evaluation_role,train_cutoff,model_frozen_within_block
2022-01-03,fold_1,train,2022-05-01T00:00:00Z,True
2022-01-10,fold_1,train,2022-05-01T00:00:00Z,True
2022-01-22,fold_1,train,2022-05-01T00:00:00Z,True
2022-01-24,fold_1,train,2022-05-01T00:00:00Z,True
2022-02-07,fold_1,train,2022-05-01T00:00:00Z,True
2022-02-14,fold_1,train,2022-05-01T00:00:00Z,True
2022-02-26,fold_1,train,2022-05-01T00:00:00Z,True
2022-02-28,fold_1,train,2022-05-01T00:00:00Z,True
2022-03-07,fold_1,train,2022-05-01T00:00:00Z,True
2022-03-14,fold_1,train,2022-05-01T00:00:00Z,True
2022-03-26,fold_1,train,2022-05-01T00:00:00Z,True
2022-03-28,fold_1,train,2022-05-01T00:00:00Z,True
2022-04-04,fold_1,train,2022-05-01T00:00:00Z,True
2022-04-11,fold_1,train,2022-05-01T00:00:00Z,True
2022-04-23,fold_1,train,2022-05-01T00:00:00Z,True
2022-04-25,fold_1,train,2022-05-01T00:00:00Z,True
2022-05-02,fold_1,validation,2022-05-01T00:00:00Z,True
2022-05-07,fold_1,validation,2022-05-01T00:00:00Z,True
2022-05-09,fold_1,validation,2022-05-01T00:00:00Z,True
2022-05-16,fold_1,validation,2022-05-01T00:00:00Z,True
2022-05-21,fold_1,validation,2022-05-01T00:00:00Z,True
2022-05-23,fold_1,validation,2022-05-01T00:00:00Z,True
2022-06-06,fold_1,test,2022-05-01T00:00:00Z,True
2022-06-11,fold_1,test,2022-05-01T00:00:00Z,True
2022-06-13,fold_1,test,2022-05-01T00:00:00Z,True
2022-06-20,fold_1,test,2022-05-01T00:00:00Z,True
2022-06-25,fold_1,test,2022-05-01T00:00:00Z,True
2022-06-27,fold_1,test,2022-05-01T00:00:00Z,True
2022-01-03,fold_2,train,2022-07-01T00:00:00Z,True
2022-01-10,fold_2,train,2022-07-01T00:00:00Z,True
2022-01-22,fold_2,train,2022-07-01T00:00:00Z,True
2022-01-24,fold_2,train,2022-07-01T00:00:00Z,True
2022-02-07,fold_2,train,2022-07-01T00:00:00Z,True
2022-02-14,fold_2,train,2022-07-01T00:00:00Z,True
2022-02-26,fold_2,train,2022-07-01T00:00:00Z,True
2022-02-28,fold_2,train,2022-07-01T00:00:00Z,True
2022-03-07,fold_2,train,2022-07-01T00:00:00Z,True
2022-03-14,fold_2,train,2022-07-01T00:00:00Z,True
2022-03-26,fold_2,train,2022-07-01T00:00:00Z,True
2022-03-28,fold_2,train,2022-07-01T00:00:00Z,True
2022-04-04,fold_2,train,2022-07-01T00:00:00Z,True
2022-04-11,fold_2,train,2022-07-01T00:00:00Z,True
2022-04-23,fold_2,train,2022-07-01T00:00:00Z,True
2022-04-25,fold_2,train,2022-07-01T00:00:00Z,True
2022-05-02,fold_2,train,2022-07-01T00:00:00Z,True
2022-05-09,fold_2,train,2022-07-01T00:00:00Z,True
2022-05-21,fold_2,train,2022-07-01T00:00:00Z,True
2022-05-23,fold_2,train,2022-07-01T00:00:00Z,True
2022-06-06,fold_2,train,2022-07-01T00:00:00Z,True
2022-06-13,fold_2,train,2022-07-01T00:00:00Z,True
2022-06-25,fold_2,train,2022-07-01T00:00:00Z,True
2022-06-27,fold_2,train,2022-07-01T00:00:00Z,True
2022-07-04,fold_2,validation,2022-07-01T00:00:00Z,True
2022-07-09,fold_2,validation,2022-07-01T00:00:00Z,True
2022-07-11,fold_2,validation,2022-07-01T00:00:00Z,True
2022-07-18,fold_2,validation,2022-07-01T00:00:00Z,True
2022-07-23,fold_2,validation,2022-07-01T00:00:00Z,True
2022-07-25,fold_2,validation,2022-07-01T00:00:00Z,True
2022-08-01,fold_2,test,2022-07-01T00:00:00Z,True
2022-08-06,fold_2,test,2022-07-01T00:00:00Z,True
2022-08-08,fold_2,test,2022-07-01T00:00:00Z,True
2022-08-15,fold_2,test,2022-07-01T00:00:00Z,True
2022-08-20,fold_2,test,2022-07-01T00:00:00Z,True
2022-08-22,fold_2,test,2022-07-01T00:00:00Z,True
2022-01-03,fold_3,train,2022-09-01T00:00:00Z,True
2022-01-10,fold_3,train,2022-09-01T00:00:00Z,True
2022-01-22,fold_3,train,2022-09-01T00:00:00Z,True
2022-01-24,fold_3,train,2022-09-01T00:00:00Z,True
2022-02-07,fold_3,train,2022-09-01T00:00:00Z,True
2022-02-14,fold_3,train,2022-09-01T00:00:00Z,True
2022-02-26,fold_3,train,2022-09-01T00:00:00Z,True
2022-02-28,fold_3,train,2022-09-01T00:00:00Z,True
2022-03-07,fold_3,train,2022-09-01T00:00:00Z,True
2022-03-14,fold_3,train,2022-09-01T00:00:00Z,True
2022-03-26,fold_3,train,2022-09-01T00:00:00Z,True
2022-03-28,fold_3,train,2022-09-01T00:00:00Z,True
2022-04-04,fold_3,train,2022-09-01T00:00:00Z,True
2022-04-11,fold_3,train,2022-09-01T00:00:00Z,True
2022-04-23,fold_3,train,2022-09-01T00:00:00Z,True
2022-04-25,fold_3,train,2022-09-01T00:00:00Z,True
2022-05-02,fold_3,train,2022-09-01T00:00:00Z,True
2022-05-09,fold_3,train,2022-09-01T00:00:00Z,True
2022-05-21,fold_3,train,2022-09-01T00:00:00Z,True
2022-05-23,fold_3,train,2022-09-01T00:00:00Z,True
2022-06-06,fold_3,train,2022-09-01T00:00:00Z,True
2022-06-13,fold_3,train,2022-09-01T00:00:00Z,True
2022-06-25,fold_3,train,2022-09-01T00:00:00Z,True
2022-06-27,fold_3,train,2022-09-01T00:00:00Z,True
2022-07-04,fold_3,train,2022-09-01T00:00:00Z,True
2022-07-11,fold_3,train,2022-09-01T00:00:00Z,True
2022-07-23,fold_3,train,2022-09-01T00:00:00Z,True
2022-07-25,fold_3,train,2022-09-01T00:00:00Z,True
2022-08-01,fold_3,train,2022-09-01T00:00:00Z,True
2022-08-08,fold_3,train,2022-09-01T00:00:00Z,True
2022-08-20,fold_3,train,2022-09-01T00:00:00Z,True
2022-08-22,fold_3,train,2022-09-01T00:00:00Z,True
2022-09-05,fold_3,validation,2022-09-01T00:00:00Z,True
2022-09-10,fold_3,validation,2022-09-01T00:00:00Z,True
2022-09-12,fold_3,validation,2022-09-01T00:00:00Z,True
2022-09-19,fold_3,validation,2022-09-01T00:00:00Z,True
2022-09-24,fold_3,validation,2022-09-01T00:00:00Z,True
2022-09-26,fold_3,validation,2022-09-01T00:00:00Z,True
2022-10-03,fold_3,test,2022-09-01T00:00:00Z,True
2022-10-08,fold_3,test,2022-09-01T00:00:00Z,True
2022-10-10,fold_3,test,2022-09-01T00:00:00Z,True
2022-10-17,fold_3,test,2022-09-01T00:00:00Z,True
2022-10-22,fold_3,test,2022-09-01T00:00:00Z,True
2022-10-24,fold_3,test,2022-09-01T00:00:00Z,True
2022-01-03,final,train,2022-11-01T00:00:00Z,True
2022-01-10,final,train,2022-11-01T00:00:00Z,True
2022-01-22,final,train,2022-11-01T00:00:00Z,True
2022-01-24,final,train,2022-11-01T00:00:00Z,True
2022-02-07,final,train,2022-11-01T00:00:00Z,True
2022-02-14,final,train,2022-11-01T00:00:00Z,True
2022-02-26,final,train,2022-11-01T00:00:00Z,True
2022-02-28,final,train,2022-11-01T00:00:00Z,True
2022-03-07,final,train,2022-11-01T00:00:00Z,True
2022-03-14,final,train,2022-11-01T00:00:00Z,True
2022-03-26,final,train,2022-11-01T00:00:00Z,True
2022-03-28,final,train,2022-11-01T00:00:00Z,True
2022-04-04,final,train,2022-11-01T00:00:00Z,True
2022-04-11,final,train,2022-11-01T00:00:00Z,True
2022-04-23,final,train,2022-11-01T00:00:00Z,True
2022-04-25,final,train,2022-11-01T00:00:00Z,True
2022-05-02,final,train,2022-11-01T00:00:00Z,True
2022-05-09,final,train,2022-11-01T00:00:00Z,True
2022-05-21,final,train,2022-11-01T00:00:00Z,True
2022-05-23,final,train,2022-11-01T00:00:00Z,True
2022-06-06,final,train,2022-11-01T00:00:00Z,True
2022-06-13,final,train,2022-11-01T00:00:00Z,True
2022-06-25,final,train,2022-11-01T00:00:00Z,True
2022-06-27,final,train,2022-11-01T00:00:00Z,True
2022-07-04,final,train,2022-11-01T00:00:00Z,True
2022-07-11,final,train,2022-11-01T00:00:00Z,True
2022-07-23,final,train,2022-11-01T00:00:00Z,True
2022-07-25,final,train,2022-11-01T00:00:00Z,True
2022-08-01,final,train,2022-11-01T00:00:00Z,True
2022-08-08,final,train,2022-11-01T00:00:00Z,True
2022-08-20,final,train,2022-11-01T00:00:00Z,True
2022-08-22,final,train,2022-11-01T00:00:00Z,True
2022-09-05,final,train,2022-11-01T00:00:00Z,True
2022-09-12,final,train,2022-11-01T00:00:00Z,True
2022-09-24,final,train,2022-11-01T00:00:00Z,True
2022-09-26,final,train,2022-11-01T00:00:00Z,True
2022-10-03,final,train,2022-11-01T00:00:00Z,True
2022-10-10,final,train,2022-11-01T00:00:00Z,True
2022-10-22,final,train,2022-11-01T00:00:00Z,True
2022-10-24,final,train,2022-11-01T00:00:00Z,True
2022-11-07,final,test,2022-11-01T00:00:00Z,True
2022-11-12,final,test,2022-11-01T00:00:00Z,True
2022-11-14,final,test,2022-11-01T00:00:00Z,True
2022-11-21,final,test,2022-11-01T00:00:00Z,True
2022-11-26,final,test,2022-11-01T00:00:00Z,True
2022-11-28,final,test,2022-11-01T00:00:00Z,True
2022-12-05,final,test,2022-11-01T00:00:00Z,True
2022-12-10,final,test,2022-11-01T00:00:00Z,True
2022-12-12,final,test,2022-11-01T00:00:00Z,True
2022-12-19,final,test,2022-11-01T00:00:00Z,True
2022-12-24,final,test,2022-11-01T00:00:00Z,True
2022-12-26,final,test,2022-11-01T00:00:00Z,True
