anchor_date,split,raw_hours,cache_complete_hours,selection_rule,selection_uses_outcomes,state_context_semantics,passenger_january_status,manifest_version
2022-01-03,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,UNSUPPORTED,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-01-10,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,UNSUPPORTED,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-01-17,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,UNSUPPORTED,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-02-07,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-02-21,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-02-28,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-03-07,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-03-14,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-03-21,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-03-28,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
