airport,departures,arrivals,operations
ATL,31155,31151,62306
ORD,26216,26212,52428
DFW,23063,23078,46141
CLT,19100,19105,38205
DEN,18507,18498,37005
LAX,17988,17977,35965
PHX,14761,14764,29525
IAH,14598,14586,29184
LGA,13872,13882,27754
SFO,13689,13702,27391
LAS,13209,13219,26428
MSP,12180,12184,24364
DTW,12172,12160,24332
MCO,12045,12042,24087
DCA,11839,11851,23690
BOS,11430,11429,22859
EWR,10522,10536,21058
JFK,10485,10483,20968
SEA,10230,10227,20457
SLC,9339,9360,18699
PHL,9087,9085,18172
FLL,8696,8696,17392
MIA,7901,7894,15795
BWI,7772,7768,15540
SAN,7493,7491,14984
TPA,6626,6616,13242
MDW,6410,6412,12822
DAL,6216,6223,12439
BNA,6208,6205,12413
STL,5349,5347,10696
IAD,5237,5215,10452
HOU,4998,5002,10000
AUS,4947,4951,9898
SJC,4925,4904,9829
PDX,4767,4770,9537
RDU,4769,4766,9535
MSY,4597,4595,9192
MCI,4458,4462,8920
OAK,4186,4182,8368
SMF,3983,3989,7972
PIT,3970,3968,7938
HNL,3933,3933,7866
CLE,3902,3907,7809
IND,3867,3867,7734
RSW,3823,3821,7644
CVG,3711,3712,7423
CMH,3697,3695,7392
SNA,3416,3425,6841
SAT,3258,3261,6519
JAX,2701,2702,5403
MKE,2495,2495,4990
PBI,2462,2455,4917
BDL,2390,2388,4778
BUR,2377,2375,4752
SJU,2308,2301,4609
OGG,2094,2093,4187
OMA,2038,2036,4074
MEM,1936,1936,3872
RIC,1932,1937,3869
ORF,1928,1927,3855
BUF,1911,1912,3823
OKC,1883,1884,3767
SDF,1787,1788,3575
TUS,1772,1774,3546
ABQ,1731,1732,3463
CHS,1703,1698,3401
ONT,1662,1662,3324
BOI,1576,1575,3151
RNO,1545,1544,3089
GRR,1506,1508,3014
BHM,1422,1423,2845
TUL,1408,1410,2818
DSM,1358,1359,2717
PVD,1355,1355,2710
TYS,1350,1350,2700
ELP,1335,1334,2669
PSP,1321,1320,2641
ANC,1317,1317,2634
GSO,1233,1233,2466
LGB,1210,1208,2418
KOA,1196,1196,2392
GSP,1194,1197,2391
SAV,1164,1164,2328
LIH,1136,1136,2272
SYR,1124,1124,2248
ROC,1111,1113,2224
DAY,1061,1063,2124
XNA,1048,1049,2097
LIT,1035,1035,2070
MSN,1027,1027,2054
FAT,976,977,1953
ALB,964,965,1929
GEG,934,936,1870
ASE,921,920,1841
HPN,910,919,1829
PNS,906,904,1810
ICT,814,814,1628
LEX,778,782,1560
CHA,763,763,1526
PWM,737,733,1470
