airport,station,distance_km,weather_source_type,station_lat,station_lon
ABQ,72365023050,0.597,DIRECT_STATION,35.042,-106.615
ALB,72518014735,0.263,DIRECT_STATION,42.747,-73.799
ASE,72467699999,0.022,DIRECT_STATION,39.223,-106.869
ATL,99999913874,1.487,DIRECT_STATION,33.63,-84.442
AUS,72254599999,2.035,DIRECT_STATION,30.2,-97.683
BDL,99999914740,0.419,DIRECT_STATION,41.938,-72.683
BHM,72228013876,0.58,DIRECT_STATION,33.565,-86.745
BNA,99999913897,1.147,DIRECT_STATION,36.119,-86.689
BOI,99999924131,1.479,DIRECT_STATION,43.567,-116.241
BOS,72509014739,0.203,DIRECT_STATION,42.361,-71.01
BUF,72528014733,0.314,DIRECT_STATION,42.94,-78.736
BUR,99999923152,0.204,DIRECT_STATION,34.201,-118.358
BWI,72406093721,1.38,DIRECT_STATION,39.173,-76.684
CHA,72324013882,0.375,DIRECT_STATION,35.034,-85.2
CHS,99999913880,0.36,DIRECT_STATION,32.899,-80.04
CLE,72524014820,0.66,DIRECT_STATION,41.406,-81.852
CLT,72314013881,1.408,DIRECT_STATION,35.223,-80.954
CMH,99999914821,1.212,DIRECT_STATION,39.991,-82.881
CVG,72421093814,0.645,DIRECT_STATION,39.044,-84.672
DAL,72258113960,1.119,DIRECT_STATION,32.852,-96.856
DAY,72429093815,0.402,DIRECT_STATION,39.906,-84.219
DCA,99999913751,0.469,DIRECT_STATION,38.85,-77.033
DEN,7256503017,2.099,DIRECT_STATION,39.847,-104.656
DFW,7225903927,1.494,DIRECT_STATION,32.897,-97.022
DSM,99999914933,0.31,DIRECT_STATION,41.534,-93.653
DTW,72537094847,2.682,DIRECT_STATION,42.231,-83.331
ELP,99999923044,0.127,DIRECT_STATION,31.811,-106.376
EWR,99999914734,0.723,DIRECT_STATION,40.683,-74.169
FAT,99999993193,0.479,DIRECT_STATION,36.78,-119.719
FLL,72202512849,0.146,DIRECT_STATION,26.072,-80.154
GEG,99999924157,0.507,DIRECT_STATION,47.622,-117.528
GRR,72635094860,0.135,DIRECT_STATION,42.882,-85.523
GSO,72317013723,0.579,DIRECT_STATION,36.097,-79.943
GSP,7231203870,1.266,DIRECT_STATION,34.906,-82.213
HOU,72244012918,0.507,DIRECT_STATION,29.646,-95.282
HPN,99999994745,0.033,DIRECT_STATION,41.067,-73.708
IAD,99999993738,0.809,DIRECT_STATION,38.941,-77.464
IAH,99999912960,1.857,DIRECT_STATION,29.98,-95.36
ICT,9999993928,0.286,DIRECT_STATION,37.648,-97.43
IND,72438093819,1.363,DIRECT_STATION,39.725,-86.282
JAX,72206013889,0.656,DIRECT_STATION,30.495,-81.694
JFK,74486094789,1.293,DIRECT_STATION,40.639,-73.764
LAS,99999923169,1.614,DIRECT_STATION,36.072,-115.163
LAX,99999923174,1.823,DIRECT_STATION,33.938,-118.389
LEX,72422093820,0.392,DIRECT_STATION,38.034,-84.611
LGA,99999914732,0.655,DIRECT_STATION,40.779,-73.88
LGB,72297023129,0.569,DIRECT_STATION,33.812,-118.147
LIT,72340313963,1.161,DIRECT_STATION,34.727,-92.236
MCI,9999993947,1.562,DIRECT_STATION,39.297,-94.731
MCO,99999912815,1.646,DIRECT_STATION,28.434,-81.325
MDW,99999914819,0.033,DIRECT_STATION,41.786,-87.752
MEM,72334013893,1.612,DIRECT_STATION,35.056,-89.986
MIA,99999912839,2.686,DIRECT_STATION,25.791,-80.316
MKE,99999914839,1.056,DIRECT_STATION,42.955,-87.904
MSN,72641014837,0.621,DIRECT_STATION,43.141,-89.345
MSP,99999914947,0.495,DIRECT_STATION,44.883,-93.217
MSY,72231012916,1.382,DIRECT_STATION,29.998,-90.278
OAK,99999923230,0.103,DIRECT_STATION,37.721,-122.221
OKC,99999913967,0.548,DIRECT_STATION,35.389,-97.601
OMA,72553214942,0.86,DIRECT_STATION,41.31,-95.899
ONT,9999993102,0.092,DIRECT_STATION,34.056,-117.6
ORD,99999914810,0.63,DIRECT_STATION,41.983,-87.9
ORF,99999913737,1.169,DIRECT_STATION,36.903,-76.192
PBI,99999912844,0.393,DIRECT_STATION,26.685,-80.099
PDX,99999924229,1.18,DIRECT_STATION,45.596,-122.609
PHL,99999913739,0.965,DIRECT_STATION,39.868,-75.231
PHX,99999923183,0.831,DIRECT_STATION,33.428,-112.004
PIT,72520094823,1.754,DIRECT_STATION,40.485,-80.214
PNS,72222313899,0.37,DIRECT_STATION,30.476,-87.186
PSP,72286899999,0.744,DIRECT_STATION,33.833,-116.5
PVD,72507014765,0.572,DIRECT_STATION,41.723,-71.432
PWM,72606014764,0.632,DIRECT_STATION,43.642,-70.304
RDU,72306013722,1.558,DIRECT_STATION,35.892,-78.782
RIC,99999913740,0.034,DIRECT_STATION,37.505,-77.32
RNO,72488023185,0.99,DIRECT_STATION,39.508,-119.768
ROC,72529014768,0.299,DIRECT_STATION,43.117,-77.675
RSW,72210899999,0.337,DIRECT_STATION,26.533,-81.75
SAN,99999923188,0.656,DIRECT_STATION,32.734,-117.183
SAT,72253012921,1.788,DIRECT_STATION,29.544,-98.484
SAV,7220703822,0.526,DIRECT_STATION,32.131,-81.202
SDF,72423093821,0.796,DIRECT_STATION,38.177,-85.731
SEA,72793024233,0.431,DIRECT_STATION,47.445,-122.314
SFO,72494023234,0.777,DIRECT_STATION,37.62,-122.366
SJC,72494523293,0.598,DIRECT_STATION,37.359,-121.924
SLC,72572024127,2.347,DIRECT_STATION,40.771,-111.965
SMF,72483993225,0.713,DIRECT_STATION,38.701,-121.595
SNA,72297793184,0.588,DIRECT_STATION,33.68,-117.867
STL,72434013994,0.45,DIRECT_STATION,38.752,-90.373
SYR,99999914771,0.188,DIRECT_STATION,43.111,-76.104
TPA,72211012842,1.542,DIRECT_STATION,27.963,-82.54
TUL,72356013968,0.768,DIRECT_STATION,36.199,-95.878
TUS,99999923160,2.39,DIRECT_STATION,32.131,-110.955
TYS,99999913891,1.061,DIRECT_STATION,35.818,-83.986
XNA,72343699999,0.021,DIRECT_STATION,36.282,-94.307
ANC,70272599999,1.44,DIRECT_STATION,61.183,-149.967
KOA,91197521510,0.266,DIRECT_STATION,19.738,-156.048
LIH,91165022536,0.652,DIRECT_STATION,21.98,-159.339
HNL,91180399999,0.299,DIRECT_STATION,21.316,-157.927
OGG,91190322516,0.509,DIRECT_STATION,20.9,-156.429
