table_or_source,actual_column,source_column,dtype,unit,nonmissing_count,missing_rate,unique_count,example_values,time_semantics,availability_semantics,current_consumers,candidate_roles,proposed_preprocessing,retain_status,alias_target,evidence_support,notes
episodes,episode_id,episode_id,object,unspecified,43985,0.0,43985,"[""a043dd9fe069fc65283ce0e27d6eb0da"", ""27f8742e8c55777f09fe7ed57ed6eedf"", ""34dfa662c847f97383282579ab2ee2bf""]",not_time,derived_or_not_applicable,overall_run|part_adv,IDENTITY|CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,flight_id,flight_id,object,unspecified,43985,0.0,43985,"[""a043dd9fe069fc65283ce0e27d6eb0da"", ""27f8742e8c55777f09fe7ed57ed6eedf"", ""34dfa662c847f97383282579ab2ee2bf""]",not_time,derived_or_not_applicable,overall_run|part_adv,IDENTITY|CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,icao24,icao24,object,unspecified,43985,0.0,5770,"[""770592"", ""48436e"", ""4851f5""]",not_time,derived_or_not_applicable,overall_run|part_adv,IDENTITY|CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,origin,origin,object,unspecified,43985,0.0,474,"["""", ""EHAM"", ""EDDF""]",not_time,derived_or_not_applicable,overall_run|part_adv|M1,IDENTITY|CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,destination,destination,object,unspecified,43985,0.0,6,"[""EDDF"", ""EHAM"", ""LEMD""]",not_time,derived_or_not_applicable,overall_run|part_adv|M1,IDENTITY|CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,airport,airport,object,unspecified,43985,0.0,6,"[""EDDF"", ""EHAM"", ""LEMD""]",not_time,derived_or_not_applicable,overall_run|part_adv|M1,IDENTITY|CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,firstseen_utc,firstseen_utc,"datetime64[ns, UTC]",unspecified,43985,0.0,42780,"[""2022-04-30 02:57:44+00:00"", ""2022-04-30 07:22:34+00:00"", ""2022-04-30 11:01:47+00:00""]",event_or_decision_time_utc,derived_or_not_applicable,overall_run|part_adv,TIME,parse_utc_or_period; preserve_original,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,lastseen_utc,lastseen_utc,"datetime64[ns, UTC]",unspecified,43985,0.0,42696,"[""2022-05-01 05:38:09+00:00"", ""2022-05-01 03:44:22+00:00"", ""2022-05-01 06:49:29+00:00""]",event_or_decision_time_utc,derived_or_not_applicable,overall_run|part_adv,TIME|FORBIDDEN_MODEL_INPUT,retain_for_label_or_audit; exclude_from_model_features,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,split,split,object,unspecified,28241,0.3579402068887121,3,"[""train"", ""validation"", ""test""]",not_time,derived_or_not_applicable,overall_run|part_adv,CATEGORICAL,normalize_explicitly; encode_downstream; keep_missing_category,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
episodes,observed_movement_time,observed_movement_time,float64,unspecified,43985,0.0,15924,"[""1600.4166666666667"", ""1221.8"", ""1187.7""]",not_time,derived_or_not_applicable,overall_run|part_adv,TIME,parse_utc_or_period; preserve_original,RETAIN,,DERIVED_OR_PUBLISHED,accepted_fast_2026-08-03
