relative_path,pre_sha256,current_sha256,match
overall_adv\output\fast\artifact_registry.json,26eb25632fed3dc8c30f258f05d54d06c44f77ad26b76e5678155386655759b1,26eb25632fed3dc8c30f258f05d54d06c44f77ad26b76e5678155386655759b1,True
overall_adv\output\fast\audit.parquet,6e16370ba22d3eb46d311dcf8510852edd0f914ac3df16b267fdd094a85536ee,6e16370ba22d3eb46d311dcf8510852edd0f914ac3df16b267fdd094a85536ee,True
overall_adv\output\fast\benchmark_action_outcomes\part.parquet,00d0c8726734450f761369c534f69ffb1cd6806d2707a71bba295ce5ea281fde,00d0c8726734450f761369c534f69ffb1cd6806d2707a71bba295ce5ea281fde,True
overall_adv\output\fast\bootstrap_results.parquet,9d9ace1ea075b13de7ad3e5948b49e465ead956c21407951f83d3476f47565cb,9d9ace1ea075b13de7ad3e5948b49e465ead956c21407951f83d3476f47565cb,True
overall_adv\output\fast\checkpoints\GLOBAL_FPR_decisions.parquet,bb321a1e30374ec4fbcd6b7c50765f9e3b66b46552f695b7da30c2e67bd2f012,bb321a1e30374ec4fbcd6b7c50765f9e3b66b46552f695b7da30c2e67bd2f012,True
overall_adv\output\fast\checkpoints\GLOBAL_FPR.json,38a6ce8ee4ac1084e0eb81947bcce7bf450b09916f68379b4bb441f9ce979335,38a6ce8ee4ac1084e0eb81947bcce7bf450b09916f68379b4bb441f9ce979335,True
overall_adv\output\fast\checkpoints\LOCAL_F_decisions.parquet,cdc092a81844060ff7f8d25262ad82ec65eefdecf059016317e666072f77cb4d,cdc092a81844060ff7f8d25262ad82ec65eefdecf059016317e666072f77cb4d,True
overall_adv\output\fast\checkpoints\LOCAL_F.json,83dd387e57a42485d95f877cade03cc20132f8a185a3567be042ceee4d257f94,83dd387e57a42485d95f877cade03cc20132f8a185a3567be042ceee4d257f94,True
overall_adv\output\fast\common_support_cohort.json,8ae388b9053c4fd6b879905ccbecc64bc3997179440d8d01dee6d03471cc8e1d,8ae388b9053c4fd6b879905ccbecc64bc3997179440d8d01dee6d03471cc8e1d,True
overall_adv\output\fast\figures\fig01_local_global_comparison.pdf,f001b266660b924298701fb65ad15d3da6b743bcab68d69ad7e341e7249e4677,f001b266660b924298701fb65ad15d3da6b743bcab68d69ad7e341e7249e4677,True
overall_adv\output\fast\figures\fig01_local_global_comparison.png,1af7f21d0665c37d07339aec8f9d35499be837ec1cb958762a8aa5cde4a129f0,1af7f21d0665c37d07339aec8f9d35499be837ec1cb958762a8aa5cde4a129f0,True
overall_adv\output\fast\figures\fig01_local_global_comparison.svg,e2e77f18ef39c846a3df4e832e3df082454fb9b4c9df312fbd5aabaa501d0f19,e2e77f18ef39c846a3df4e832e3df082454fb9b4c9df312fbd5aabaa501d0f19,True
overall_adv\output\fast\local_f_scores.parquet,37cbb565624afe7f574c45979d44079ca1fd8e4eae4b652ba485ba54dcc5d43e,37cbb565624afe7f574c45979d44079ca1fd8e4eae4b652ba485ba54dcc5d43e,True
overall_adv\output\fast\logs\run.log,884ffb91ee3b68699de3f2d1774b52c08d54c740ebefce2a68caa38e80978bff,884ffb91ee3b68699de3f2d1774b52c08d54c740ebefce2a68caa38e80978bff,True
overall_adv\output\fast\m4_common_support_cohort.parquet,614814d4f8a546ea67f3702e2dc410f9bdb78a8ab1877e2b6c1bf489423f44f5,614814d4f8a546ea67f3702e2dc410f9bdb78a8ab1877e2b6c1bf489423f44f5,True
overall_adv\output\fast\m4_selected_action_distribution.parquet,f14cdae78998cd27e6111456c9ee4d0f068550977b9a84784a73322027e03e72,f14cdae78998cd27e6111456c9ee4d0f068550977b9a84784a73322027e03e72,True
overall_adv\output\fast\paired_metrics.parquet,bd0ad73881beb2bb153bd06297efd2f076baec3818b01724daf699bce6977490,bd0ad73881beb2bb153bd06297efd2f076baec3818b01724daf699bce6977490,True
overall_adv\output\fast\policy_decisions.parquet,a8d7a418695b2a3c3b1b48a76d75d9e52b22df7afc3163fe4044e940dd5640ab,a8d7a418695b2a3c3b1b48a76d75d9e52b22df7afc3163fe4044e940dd5640ab,True
overall_adv\output\fast\recovery_case_metrics.parquet,cbb139202f72f1a6eb8f9a8847051b7938d7248d27e5940d0d1bdb2c3ee0b9b4,cbb139202f72f1a6eb8f9a8847051b7938d7248d27e5940d0d1bdb2c3ee0b9b4,True
overall_adv\output\fast\run_state.json,5274bc72b961a823d7be5fa2621ca871f14deb18197908edfb6d6e753723b36b,5274bc72b961a823d7be5fa2621ca871f14deb18197908edfb6d6e753723b36b,True
overall_adv\output\fast\run_summary.json,0c799befe73104a293d18693e937cb14759cfb5a243004ab49ff5d947888ecf4,0c799befe73104a293d18693e937cb14759cfb5a243004ab49ff5d947888ecf4,True
overall_adv\output\fast\summary.csv,e4554fe92914b80cc010f6ed9bec3df0f2515c029657f805f90208ca92e8c67e,e4554fe92914b80cc010f6ed9bec3df0f2515c029657f805f90208ca92e8c67e,True
overall_run\output\fast\action_metadata.parquet,4f778ba118f14db072f7885759678ed0a7062244ef3e79188a7786173a28f220,4f778ba118f14db072f7885759678ed0a7062244ef3e79188a7786173a28f220,True
overall_run\output\fast\artifact_registry.json,1730d13b5459f2e95e10546e2f4365804f5f237cbfa591ed473959130dea7b6a,1730d13b5459f2e95e10546e2f4365804f5f237cbfa591ed473959130dea7b6a,True
