path,status,classification
overall_run/config/scientific.yaml,VERIFIED,M4_V2_FORMAL_CONFIG
overall_run/src/config.py,MODIFIED,M4_V2_VALIDATION_AND_AUTHORITATIVE_HASH
overall_run/src/pipeline.py,MODIFIED,M4_V2_FORMAL_ORCHESTRATION
overall_run/src/pipeline_finalize.py,MODIFIED,M4_V2_DOWNSTREAM_FINALIZATION
overall_run/src/pipeline_parameters.py,MODIFIED,M4_V2_PARAMETER_PROVENANCE
ranking_contract.py,MODIFIED,M4_RANKING_1235_V2_SHARED_CONTRACT
overall_run/src/ranking_contract.py,MODIFIED,RANKING_CONTRACT_ADAPTER
overall_run/src/m4/__init__.py,MODIFIED,M4_V2_ACTIVE_PACKAGE
overall_run/src/m4/contracts.py,MODIFIED,M4_V2_FORMAL_CONTRACT
overall_run/src/m4/compatibility.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/input_adapter.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/evidence.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/stage_adapter.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/lane_assignment.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/opportunity.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/draw_pairing.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/post_loss.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/risk.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/ranking.py,MODIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/rolling.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/explanation.py,VERIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/status.py,ADDED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/publication.py,ADDED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/output.py,MODIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/pipeline.py,MODIFIED,M4_V2_FORMAL_IMPLEMENTATION
overall_run/src/m4/evaluation.py,MODIFIED,M4_V2_EVALUATION_ONLY
overall_run/src/legacy/m4_v1_api.py,PRESENT,LEGACY_NOT_FORMAL
overall_run/src/legacy/m4_v1_screening.py,PRESENT,LEGACY_NOT_FORMAL
overall_run/src/legacy/m4_v1_evaluation.py,PRESENT,LEGACY_NOT_FORMAL
overall_run/src/m4.py,ABSENT,ACTIVE_LEGACY_REMOVED
overall_run/src/m4_screening.py,ABSENT,ACTIVE_LEGACY_REMOVED
overall_run/src/m4_evaluation.py,ABSENT,ACTIVE_LEGACY_REMOVED
overall_run/tests/m4/test_integration_closure.py,ADDED,SYNTHETIC_AND_STATIC_TEST_ONLY
README.md,MODIFIED,REPOSITORY_STATUS
overall_run/README.md,MODIFIED,MODULE_STATUS
